onset	duration	code	trial_number
0.0055	0.0	70	0
0.0055	0.0	train_block_end	0
18.5341	0.0	3	0
18.5389	0.0	rest_block_start	0
18.5389	2.0	80	0
20.5473	2.0	80	0
22.5556	2.0	80	0
24.5639	2.0	80	0
26.5723	2.0	80	0
28.5806	2.0	80	0
30.589	2.0	80	0
32.5973	2.0	80	0
36.114	0.0	rest_block_end	0
36.114	0.0	experiment_block_start	0
36.114	0.0	40	1
36.614	0.0	30	1
36.864	0.0	12	1
37.1516	0.0	2	1
37.1557	0.0	40	2
37.6557	0.0	30	2
37.9057	0.0	212	2
38.0057	1.0	222	2
39.1557	0.0	40	3
39.6557	0.0	30	3
39.9057	0.0	211	3
40.0557	0.0	221	3
40.1375	0.0	1	3
40.1473	0.0	40	4
40.6473	0.0	30	4
40.8973	0.0	11	4
41.2254	0.0	1	4
41.2307	0.0	40	5
41.7307	0.0	30	5
41.9807	0.0	12	5
42.2944	0.0	2	5
42.3057	0.0	40	6
42.8057	0.0	30	6
43.0557	0.0	12	6
43.3004	0.0	1	6
43.3057	0.0	40	7
43.8057	0.0	30	7
44.0557	0.0	11	7
44.3864	0.0	1	7
44.3974	0.0	40	8
44.8974	0.0	30	8
45.1474	0.0	11	8
45.4713	0.0	1	8
45.4807	0.0	40	9
45.9807	0.0	30	9
46.2307	0.0	211	9
46.3307	1.0	221	9
47.4807	0.0	40	10
47.9807	0.0	30	10
48.2307	0.0	11	10
48.5523	0.0	1	10
48.564	0.0	40	11
49.064	0.0	30	11
49.314	0.0	12	11
49.8092	0.0	2	11
49.814	0.0	40	12
50.314	0.0	30	12
50.564	0.0	12	12
50.8292	0.0	1	12
50.839	0.0	40	13
51.339	0.0	30	13
51.5891	0.0	212	13
51.7391	0.0	222	13
52.0012	0.0	2	13
52.0057	0.0	40	14
52.5057	0.0	30	14
52.7557	0.0	12	14
53.1111	0.0	2	14
53.1224	0.0	40	15
53.6224	0.0	30	15
53.8724	0.0	11	15
54.1681	0.0	1	15
54.1724	0.0	40	16
54.6724	0.0	30	16
54.9224	0.0	11	16
55.2381	0.0	1	16
55.2474	0.0	40	17
55.7474	0.0	30	17
55.9974	0.0	12	17
56.2901	0.0	2	17
56.2974	0.0	40	18
56.7974	0.0	30	18
57.0474	0.0	212	18
57.1474	1.0	222	18
58.2974	0.0	40	19
58.7974	0.0	30	19
59.0474	0.0	211	19
59.1974	0.0	221	19
59.32	0.0	1	19
59.3307	0.0	40	20
59.8308	0.0	30	20
