onset	duration	sample	value	gid	imageid	buttonpressduration	reactiontime	imagecategory	cameradistance	imagelocation	imageclutter	luminance	tgtorientation	tgtocclusion	tgtcontrast	tgtsize	tgtdistfromcenter	numberoftargets	numberofclasses
445.787109375	n/a	456487	11101	0	0	0.0	0.0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0
445.787109375	n/a	456487	12501	0	0	0.0	0.0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0
445.787109375	n/a	456487	13210	2493	21700	0.0	0.0	6	1	1	2	136.367705	0	0	0	0.0	0.0	0	0
445.970703125	n/a	456675	13210	1155	20208	0.0	0.0	6	4	1	3	39.935245	0	0	0	0.0	0.0	0	0
446.154296875	n/a	456863	13210	2018	21192	0.0	0.0	6	1	1	1	92.27559	0	0	0	0.0	0.0	0	0
446.337890625	n/a	457051	13210	2272	21457	0.0	0.0	6	3	1	3	67.66499	0	0	0	0.0	0.0	0	0
446.521484375	n/a	457239	13210	1902	21052	0.0	0.0	6	3	2	2	180.076021	0	0	0	0.0	0.0	0	0
446.705078125	n/a	457427	13210	1836	20974	0.0	0.0	6	1	1	2	126.780461	0	0	0	0.0	0.0	0	0
446.888671875	n/a	457615	13210	1628	20750	0.0	0.0	6	3	1	3	37.347953	0	0	0	0.0	0.0	0	0
447.0732421875	n/a	457804	13210	1185	20247	0.0	0.0	6	1	1	2	153.226538	0	0	0	0.0	0.0	0	0
447.2568359375	n/a	457992	13120	8006	10013	0.0	0.0	4	1	1	2	121.518439	45	1	3	0.040892	183.010929	3	3
447.4404296875	n/a	458180	13210	1047	20062	0.0	0.0	6	2	2	2	109.865605	0	0	0	0.0	0.0	0	0
447.6240234375	n/a	458368	13210	2534	21742	0.0	0.0	6	1	1	2	130.384231	0	0	0	0.0	0.0	0	0
447.8076171875	n/a	458556	13210	1621	20738	0.0	0.0	6	1	1	1	181.789831	0	0	0	0.0	0.0	0	0
447.9912109375	n/a	458744	13210	1236	20305	0.0	0.0	6	5	2	3	157.52107	0	0	0	0.0	0.0	0	0
448.1748046875	n/a	458932	13210	2526	21734	0.0	0.0	6	3	1	3	116.078894	0	0	0	0.0	0.0	0	0
448.3583984375	n/a	459120	13210	1598	20714	0.0	0.0	6	3	1	3	80.227696	0	0	0	0.0	0.0	0	0
448.5419921875	n/a	459308	13210	1145	20196	0.0	0.0	6	1	1	2	81.289444	0	0	0	0.0	0.0	0	0
448.7255859375	n/a	459496	13210	1240	20310	0.0	0.0	6	2	2	2	105.542849	0	0	0	0.0	0.0	0	0
448.9091796875	n/a	459684	13210	1857	20996	0.0	0.0	6	2	1	3	102.400928	0	0	0	0.0	0.0	0	0
449.09375	n/a	459873	13210	1103	20142	0.0	0.0	6	3	1	2	152.179446	0	0	0	0.0	0.0	0	0
449.27734375	n/a	460061	13210	2166	21347	0.0	0.0	6	3	1	3	102.040299	0	0	0	0.0	0.0	0	0
449.4609375	n/a	460249	13210	1775	20907	0.0	0.0	6	2	1	2	146.76344	0	0	0	0.0	0.0	0	0
449.64453125	n/a	460437	13210	1972	21134	0.0	0.0	6	1	1	2	178.724124	0	0	0	0.0	0.0	0	0
449.828125	n/a	460625	13210	1148	20200	0.0	0.0	6	1	2	2	160.9176	0	0	0	0.0	0.0	0	0
450.01171875	n/a	460813	13210	2410	21609	0.0	0.0	6	2	1	2	153.065167	0	0	0	0.0	0.0	0	0
450.1953125	n/a	461001	13210	2338	21531	0.0	0.0	6	1	1	2	52.386066	0	0	0	0.0	0.0	0	0
450.37890625	n/a	461189	13210	1528	20640	0.0	0.0	6	2	1	2	165.793529	0	0	0	0.0	0.0	0	0
450.5625	n/a	461377	13210	2464	21667	0.0	0.0	6	3	1	3	73.995682	0	0	0	0.0	0.0	0	0
450.74609375	n/a	461565	13210	1424	20515	0.0	0.0	6	3	2	3	167.678613	0	0	0	0.0	0.0	0	0
450.9296875	n/a	461753	13210	1606	20722	0.0	0.0	6	3	1	3	88.960473	0	0	0	0.0	0.0	0	0
451.1142578125	n/a	461942	13210	1355	20439	0.0	0.0	6	3	2	3	131.834748	0	0	0	0.0	0.0	0	0
451.2978515625	n/a	462130	13210	1089	20127	0.0	0.0	6	2	1	2	143.514924	0	0	0	0.0	218.044407	0	0
451.4814453125	n/a	462318	13210	2291	21481	0.0	0.0	6	1	1	2	91.445607	0	0	0	0.0	0.0	0	0
451.6650390625	n/a	462506	13210	1627	20748	0.0	0.0	6	2	1	2	154.546021	0	0	0	0.0	0.0	0	0
451.8486328125	n/a	462694	13210	2554	21762	0.0	0.0	6	3	1	4	132.550585	0	0	0	0.0	0.0	0	0
452.0322265625	n/a	462882	13220	2123	21304	0.0	0.0	6	1	1	3	140.876763	0	0	0	0.0	0.0	0	0
452.2158203125	n/a	463070	13210	1513	20625	0.0	0.0	6	1	1	2	119.982892	0	0	0	0.0	0.0	0	0
452.3994140625	n/a	463258	13120	8138	10521	0.0	0.0	5	1	1	2	155.741165	0	3	2	0.40535	153.052279	1	1
452.5830078125	n/a	463446	13210	2522	21730	0.0	0.0	6	1	1	2	138.580542	0	0	0	0.0	0.0	0	0
452.6845703125	n/a	463550	21121	2123	21304	0.0	0.0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0
452.7666015625	n/a	463634	13210	2535	21743	0.0	0.0	6	2	1	2	172.271093	0	0	0	0.0	0.0	0	0
452.892578125	n/a	463763	21122	0	0	0.2080078125	0.0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0
452.9501953125	n/a	463822	13210	1970	21131	0.0	0.0	6	2	1	2	102.214154	0	0	0	0.0	0.0	0	0
453.134765625	n/a	464011	13210	1531	20643	0.0	0.0	6	1	1	1	165.590305	0	0	0	0.0	0.0	0	0
453.318359375	n/a	464199	13210	1183	20245	0.0	0.0	6	1	1	1	89.672427	0	0	0	0.0	0.0	0	0
453.501953125	n/a	464387	13210	2204	21385	0.0	0.0	6	2	1	2	116.480974	0	0	0	0.0	0.0	0	0
453.685546875	n/a	464575	13210	1553	20665	0.0	0.0	6	2	1	2	83.026162	0	0	0	0.0	0.0	0	0
