onset	duration	code	trial_number
0.0041	0.0	70	0
0.0041	0.0	train_block_end	0
17.7082	0.0	3	0
17.7127	0.0	rest_block_start	0
17.7127	2.0	80	0
19.7211	2.0	80	0
21.7295	2.0	80	0
23.7378	2.0	80	0
25.7462	2.0	80	0
27.7546	2.0	80	0
29.7629	2.0	80	0
31.7713	2.0	80	0
35.288	0.0	rest_block_end	0
35.288	0.0	experiment_block_start	0
35.288	0.0	40	1
35.7881	0.0	30	1
36.0381	0.0	212	1
36.2381	1.0	222	1
37.2881	0.0	40	2
37.7881	0.0	30	2
38.0381	0.0	211	2
38.2881	0.0	221	2
38.4339	0.0	1	2
38.4381	0.0	40	3
38.9381	0.0	30	3
39.1881	0.0	11	3
39.6459	0.0	1	3
39.6548	0.0	40	4
40.1548	0.0	30	4
40.4048	0.0	12	4
40.8488	0.0	2	4
40.8548	0.0	40	5
41.3548	0.0	30	5
41.6048	0.0	11	5
42.0988	0.0	1	5
42.1048	0.0	40	6
42.6048	0.0	30	6
42.8549	0.0	12	6
43.2338	0.0	2	6
43.2382	0.0	40	7
43.7382	0.0	30	7
43.9882	0.0	11	7
44.4418	0.0	1	7
44.4465	0.0	40	8
44.9466	0.0	30	8
45.1966	0.0	12	8
45.6218	0.0	2	8
45.6299	0.0	40	9
46.1299	0.0	30	9
46.3799	0.0	11	9
46.7788	0.0	1	9
46.7883	0.0	40	10
47.2883	0.0	30	10
47.5383	0.0	212	10
47.7383	0.0	222	10
47.9058	0.0	2	10
47.9133	0.0	40	11
48.4133	0.0	30	11
48.6633	0.0	11	11
49.0318	0.0	1	11
49.0383	0.0	40	12
49.5383	0.0	30	12
49.7883	0.0	12	12
50.1617	0.0	2	12
50.1716	0.0	40	13
50.6717	0.0	30	13
50.9217	0.0	12	13
51.2757	0.0	2	13
51.28	0.0	40	14
51.78	0.0	30	14
52.03	0.0	12	14
52.3707	0.0	2	14
52.38	0.0	40	15
52.88	0.0	30	15
53.13	0.0	211	15
53.28	1.0	221	15
54.3801	0.0	40	16
54.8801	0.0	30	16
55.1301	0.0	11	16
55.4877	0.0	1	16
55.4967	0.0	40	17
55.9968	0.0	30	17
56.2468	0.0	11	17
56.5996	0.0	1	17
56.6051	0.0	40	18
57.1051	0.0	30	18
57.3551	0.0	12	18
57.7196	0.0	2	18
57.7301	0.0	40	19
58.2301	0.0	30	19
58.4801	0.0	12	19
58.8546	0.0	2	19
58.8635	0.0	40	20
59.3635	0.0	30	20
59.6135	0.0	211	20
59.8135	1.0	221	20
60.8635	0.0	40	21
61.3635	0.0	30	21
61.6135	0.0	11	21
61.9536	0.0	1	21
61.9635	0.0	40	22
62.4635	0.0	30	22
62.7135	0.0	11	22
63.0906	0.0	1	22
63.0969	0.0	40	23
63.5969	0.0	30	23
63.8469	0.0	212	23
64.0969	0.0	222	23
64.2296	0.0	2	23
64.2386	0.0	40	24
64.7386	0.0	30	24
64.9886	0.0	12	24
65.4806	0.0	2	24
65.4886	0.0	40	25
65.9886	0.0	30	25
66.2386	0.0	211	25
66.4386	1.0	221	25
67.4886	0.0	40	26
67.9886	0.0	30	26
68.2386	1.0	12	26
68.7475	0.0	2	26
68.7553	0.0	40	27
69.2553	0.0	30	27
69.5053	0.0	12	27
69.9515	0.0	2	27
69.9553	0.0	40	28
70.4553	0.0	30	28
70.7054	0.0	212	28
70.9554	1.0	222	28
71.9554	0.0	40	29
72.4554	0.0	30	29
72.7054	0.0	11	29
73.1335	0.0	1	29
73.1387	0.0	40	30
73.6387	0.0	30	30
73.8887	0.0	11	30
74.2364	0.0	1	30
74.2471	0.0	40	31
74.7471	0.0	30	31
74.9971	0.0	11	31
75.3874	0.0	1	31
75.3971	0.0	40	32
75.8971	0.0	30	32
76.1471	0.0	12	32
76.5044	0.0	2	32
76.5138	0.0	40	33
77.0138	0.0	30	33
77.2638	0.0	11	33
77.6334	0.0	1	33
77.6388	0.0	40	34
78.1388	0.0	30	34
78.3888	0.0	11	34
78.6924	0.0	1	34
78.6972	0.0	40	35
79.1972	0.0	30	35
79.4472	0.0	11	35
79.7764	0.0	1	35
79.7805	0.0	40	36
80.2805	0.0	30	36
80.5305	0.0	12	36
80.8594	0.0	2	36
80.8639	0.0	40	37
81.3639	0.0	30	37
81.6139	0.0	12	37
81.9764	0.0	2	37
81.9806	0.0	40	38
82.4805	0.0	30	38
82.7306	0.0	12	38
83.0304	0.0	2	38
83.0389	0.0	40	39
83.5389	0.0	30	39
83.7889	0.0	211	39
84.0889	0.0	221	39
84.1513	0.0	1	39
84.1556	0.0	40	40
84.6556	0.0	30	40
84.9056	0.0	212	40
85.1556	0.0	222	40
85.2283	0.0	2	40
85.2389	0.0	40	41
85.739	0.0	30	41
85.989	0.0	12	41
