onset	duration	code	trial_number
106.8904	0.25	30	56
107.1404	0.3083	11	56
107.4393	0.0	1	56
107.4487	0.5	40	57
107.9487	0.25	30	57
108.1987	0.3	211	57
108.4963	0.0	1	57
108.4987	0.0083	221	57
108.5071	0.5	40	58
109.0071	0.25	30	58
109.2571	0.375	12	58
109.6213	0.0	2	58
109.6321	0.5	40	59
110.1321	0.25	30	59
110.3821	0.3667	11	59
110.7423	0.0	1	59
110.7488	0.5	40	60
111.2488	0.25	30	60
111.4988	0.25	212	60
111.7488	0.0917	222	60
111.8353	0.0	2	60
111.8405	0.5	40	61
112.3405	0.25	30	61
112.5905	0.3667	12	61
112.9532	0.0	2	61
112.9571	0.5	40	62
113.4571	0.25	30	62
113.7071	0.35	11	62
114.0522	0.0	1	62
114.0571	0.5	40	63
114.5571	0.25	30	63
114.8072	0.3167	11	63
115.1122	0.0	1	63
115.1238	0.5	40	64
115.6238	0.25	30	64
115.8738	0.3083	12	64
116.1782	0.0	1	64
116.1822	0.0167	70	0
116.1822	0.0	experiment_block_end	0
134.1619	0.0	3	0
134.1657	0.0	rest_block_start	0
134.1657	2.0084	80	0
136.1741	2.0084	80	0
138.1824	2.0084	80	0
140.1908	2.0084	80	0
142.1992	2.0084	80	0
144.2075	2.0084	80	0
146.2159	2.0084	80	0
148.2242	2.0084	80	0
151.7409	0.0	rest_block_end	0
151.7409	0.0	experiment_block_start	0
151.7409	0.5	40	1
152.241	0.25	30	1
152.491	0.2	211	1
152.691	1.05	221	1
153.741	0.5	40	2
154.241	0.25	30	2
154.491	0.3833	11	2
154.8685	0.0	1	2
154.8743	0.5	40	3
155.3743	0.25	30	3
155.6243	0.4583	12	3
156.0785	0.0	2	3
156.0827	0.5	40	4
156.5827	0.25	30	4
156.8327	0.5083	12	4
157.3326	0.0	2	4
157.341	0.5	40	5
157.841	0.25	30	5
158.091	0.2917	11	5
158.3764	0.0	1	5
158.3827	0.5	40	6
158.8827	0.25	30	6
159.1327	0.3667	12	6
159.4934	0.0	2	6
159.4994	0.5	40	7
159.9994	0.25	30	7
160.2494	0.25	212	7
160.4994	1.0	222	7
161.4994	0.5	40	8
161.9994	0.25	30	8
162.2494	0.3	11	8
162.5404	0.0	1	8
162.5494	0.5	40	9
163.0494	0.25	30	9
163.2994	0.3	211	9
163.5994	0.025	221	9
163.6173	0.0	1	9
163.6244	0.5	40	10
164.1244	0.25	30	10
164.3744	0.3417	11	10
164.7063	0.0	1	10
164.7161	0.5	40	11
165.2161	0.25	30	11
165.4661	0.4583	11	11
165.9173	0.0	1	11
165.9245	0.5	40	12
166.4245	0.25	30	12
166.6745	0.3333	11	12
167.0023	0.0	1	12
167.0078	0.5	40	13
167.5078	0.25	30	13
167.7578	0.25	212	13
168.0078	1.0	222	13
169.0078	0.5	40	14
169.5078	0.25	30	14
169.7578	0.375	12	14
170.1242	0.0	2	14
170.1328	0.5	40	15
170.6329	0.25	30	15
170.8829	0.2833	12	15
171.1622	0.0	2	15
171.1662	0.5	40	16
171.6662	0.25	30	16
171.9162	0.3	12	16
172.2092	0.0	2	16
172.2162	0.5	40	17
172.7162	0.25	30	17
172.9662	0.4667	11	17
173.4291	0.0	1	17
173.4329	0.5	40	18
173.9329	0.25	30	18
174.1829	0.3833	12	18
174.5612	0.0	2	18
174.5662	0.5	40	19
175.0662	0.25	30	19
175.3162	0.475	11	19
175.7811	0.0	1	19
175.7912	0.5	40	20
176.2913	0.25	30	20
176.5413	0.4167	11	20
176.9531	0.0	1	20
176.9579	0.5	40	21
177.4579	0.25	30	21
177.7079	0.425	12	21
178.1221	0.0	2	21
178.1329	0.5	40	22
178.6329	0.25	30	22
178.883	0.4417	12	22
179.3171	0.0	2	22
179.3246	0.5	40	23
179.8246	0.25	30	23
180.0746	0.3	211	23
180.3746	0.1083	221	23
180.472	0.0	1	23
180.483	0.5	40	24
180.983	0.25	30	24
181.233	0.25	212	24
181.483	0.1833	222	24
181.656	0.0	2	24
181.6663	0.5	40	25
182.1663	0.25	30	25
182.4163	0.3583	12	25
182.766	0.0	2	25
182.7747	0.5	40	26
183.2747	0.25	30	26
