onset	duration	sample	value
0.0009765625	n/a	2	1310
1.599609375	n/a	1639	1311
1.748046875	n/a	1791	1312
5.23828125	n/a	5365	3111
5.23828125	n/a	5365	1211
5.23828125	n/a	5365	3200
5.23828125	n/a	5365	3310
5.23828125	n/a	5365	4230
5.3251953125	n/a	5454	2621
5.5986328125	n/a	5734	1311
5.716796875	n/a	5855	1312
10.5751953125	n/a	10830	2622
13.791015625	n/a	14123	1111
13.8828125	n/a	14217	1311
13.974609375	n/a	14311	1312
14.0126953125	n/a	14350	4311
14.0126953125	n/a	14350	1112
17.583984375	n/a	18007	4210
17.583984375	n/a	18007	4312
21.53515625	n/a	22053	1121
22.3349609375	n/a	22872	4230
22.4013671875	n/a	22940	4311
22.45703125	n/a	22997	1122
24.8369140625	n/a	25434	4210
25.9306640625	n/a	26554	1311
26.03515625	n/a	26661	1312
26.61328125	n/a	27253	4312
29.1015625	n/a	29801	1121
30.056640625	n/a	30779	4230
30.08984375	n/a	30813	4311
30.15625	n/a	30881	1122
34.6650390625	n/a	35498	4210
34.78515625	n/a	35621	4312
38.12890625	n/a	39045	1111
38.794921875	n/a	39727	4220
39.05078125	n/a	39989	4311
39.1171875	n/a	40057	1112
41.958984375	n/a	42967	4210
43.5634765625	n/a	44610	4312
46.048828125	n/a	47155	4230
48.765625	n/a	49937	4210
48.8798828125	n/a	50054	1311
48.9853515625	n/a	50162	1312
51.6044921875	n/a	52844	4230
52.005859375	n/a	53255	4210
53.791015625	n/a	55083	1121
54.423828125	n/a	55731	3200
54.4580078125	n/a	55766	4230
54.5908203125	n/a	55902	4311
54.646484375	n/a	55959	1122
54.828125	n/a	56145	2621
56.8974609375	n/a	58264	4210
57.7587890625	n/a	59146	4312
59.4140625	n/a	60841	4220
59.84765625	n/a	61285	4210
62.1767578125	n/a	63670	1111
62.576171875	n/a	64079	4311
62.5986328125	n/a	64102	1112
62.6201171875	n/a	64124	4220
63.078125	n/a	64593	2622
65.4609375	n/a	67033	4210
65.69140625	n/a	67269	4312
68.43359375	n/a	70077	1111
69.1552734375	n/a	70816	4220
69.2783203125	n/a	70942	4311
69.333984375	n/a	70999	1112
71.9306640625	n/a	73658	4210
74.1787109375	n/a	75960	4312
75.0576171875	n/a	76860	1121
75.55859375	n/a	77373	4311
75.580078125	n/a	77395	4230
75.580078125	n/a	77395	1122
78.15234375	n/a	80029	4210
78.904296875	n/a	80799	4312
84.22265625	n/a	86245	1111
85.0	n/a	87041	4311
85.044921875	n/a	87087	4220
85.044921875	n/a	87087	1112
87.6923828125	n/a	89798	4210
89.5693359375	n/a	91720	4312
90.181640625	n/a	92347	4230
90.7509765625	n/a	92930	1311
90.8828125	n/a	93065	1312
91.20703125	n/a	93397	1111
91.7841796875	n/a	93988	4210
92.162109375	n/a	94375	4311
92.23046875	n/a	94445	1112
92.4033203125	n/a	94622	4220
94.9814453125	n/a	97262	3200
95.2119140625	n/a	97498	4210
95.330078125	n/a	97619	2621
96.84765625	n/a	99173	4230
98.462890625	n/a	100827	4210
98.64453125	n/a	101013	4312
99.482421875	n/a	101871	1311
99.6083984375	n/a	102000	1312
100.513671875	n/a	102927	1111
101.4912109375	n/a	103928	4311
101.5576171875	n/a	103996	1112
101.640625	n/a	104081	4220
101.705078125	n/a	104147	1311
101.826171875	n/a	104271	1312
103.5810546875	n/a	106068	2622
103.986328125	n/a	106483	4210
105.2001953125	n/a	107726	4312
107.0458984375	n/a	109616	1111
107.33203125	n/a	109909	1311
107.478515625	n/a	110059	1312
107.912109375	n/a	110503	4311
107.9677734375	n/a	110560	1112
108.0400390625	n/a	110634	4220
110.8984375	n/a	113561	4210
112.1923828125	n/a	114886	4312
113.3603515625	n/a	116082	1111
114.2041015625	n/a	116946	4311
114.259765625	n/a	117003	1112
114.3125	n/a	117057	4220
116.251953125	n/a	119043	1311
116.3779296875	n/a	119172	1312
120.609375	n/a	123505	4210
121.7685546875	n/a	124692	1111
122.580078125	n/a	125523	4220
122.634765625	n/a	125579	4311
122.6904296875	n/a	125636	1112
124.583984375	n/a	127575	1311
124.689453125	n/a	127683	1312
125.83203125	n/a	128853	4210
125.83203125	n/a	128853	4312
129.3134765625	n/a	132418	1111
129.61328125	n/a	132725	4311
129.6240234375	n/a	132736	1112
129.88671875	n/a	133005	4312
134.4326171875	n/a	137660	1311
134.5380859375	n/a	137768	1312
134.5400390625	n/a	137770	1111
135.462890625	n/a	138715	4220
135.5517578125	n/a	138806	3200
135.5517578125	n/a	138806	4311
135.6181640625	n/a	138874	1112
