onset	duration	code	trial_number
0.0057	0.0	70	0
0.0057	0.0	train_block_end	0
19.3529	0.0	3	0
19.3643	0.0	rest_block_start	0
19.3643	2.0	80	0
21.3727	2.0	80	0
23.381	2.0	80	0
25.3894	2.0	80	0
27.3977	2.0	80	0
29.4061	2.0	80	0
31.4144	2.0	80	0
33.4228	2.0	80	0
36.9395	0.0	rest_block_end	0
36.9395	0.0	experiment_block_start	0
36.9395	0.0	40	1
37.4395	0.0	30	1
37.6895	0.0	12	1
38.0936	0.0	2	1
38.0979	0.0	40	2
38.5979	0.0	30	2
38.8479	0.0	11	2
39.1435	0.0	1	2
39.1479	0.0	40	3
39.6479	0.0	30	3
39.8979	0.0	211	3
40.1979	0.0	221	3
40.2395	0.0	1	3
40.2479	0.0	40	4
40.7479	0.0	30	4
40.9979	0.0	11	4
41.3585	0.0	1	4
41.3646	0.0	40	5
41.8646	0.0	30	5
42.1146	0.0	11	5
42.5065	0.0	1	5
42.5146	0.0	40	6
43.0146	0.0	30	6
43.2646	0.0	12	6
43.6094	0.0	2	6
43.6146	0.0	40	7
44.1146	0.0	30	7
44.3646	0.0	212	7
44.6146	1.0	222	7
45.6146	0.0	40	8
46.1146	0.0	30	8
46.3646	0.0	12	8
46.7145	0.0	2	8
46.723	0.0	40	9
47.223	0.0	30	9
47.473	0.0	12	9
47.8034	0.0	2	9
47.8147	0.0	40	10
48.3147	0.0	30	10
48.5647	0.0	12	10
48.9584	0.0	2	10
48.9647	0.0	40	11
49.4647	0.0	30	11
49.7147	0.0	11	11
50.2023	0.0	1	11
50.2063	0.0	40	12
50.7064	0.0	30	12
50.9564	0.0	12	12
51.2203	0.0	2	12
51.2314	0.0	40	13
51.7314	0.0	30	13
51.9814	0.0	11	13
52.4313	0.0	1	13
52.4397	0.0	40	14
52.9397	0.0	30	14
53.1897	0.0	11	14
53.4853	0.0	1	14
53.4897	0.0	40	15
53.9897	0.0	30	15
54.2397	0.0	211	15
54.5397	0.0	221	15
54.6653	0.0	1	15
54.6731	0.0	40	16
55.1731	0.0	30	16
55.4231	0.0	212	16
55.6731	0.0	222	16
