onset	duration	sample	value
146.810546875	n/a	150335	4220
147.7705078125	n/a	151318	4210
148.330078125	n/a	151891	4312
154.29296875	n/a	157997	1111
155.1826171875	n/a	158908	4311
155.2373046875	n/a	158964	1112
155.248046875	n/a	158975	4220
157.0888671875	n/a	160860	4210
157.939453125	n/a	161731	4230
160.501953125	n/a	164355	1311
160.6396484375	n/a	164496	1312
161.611328125	n/a	165491	4210
161.69140625	n/a	165573	1121
161.98046875	n/a	165869	4230
162.3798828125	n/a	166278	4311
162.423828125	n/a	166323	1122
164.771484375	n/a	168727	1311
164.912109375	n/a	168871	1312
164.9560546875	n/a	168916	4210
166.005859375	n/a	169991	4312
167.984375	n/a	172017	1111
168.7158203125	n/a	172766	4220
168.8720703125	n/a	172926	4311
168.927734375	n/a	172983	1112
170.8291015625	n/a	174930	4210
171.9697265625	n/a	176098	3200
172.048828125	n/a	176179	4230
172.2353515625	n/a	176370	2621
174.337890625	n/a	178523	4210
174.337890625	n/a	178523	4312
176.5986328125	n/a	180838	1111
177.5751953125	n/a	181838	4311
177.642578125	n/a	181907	1112
177.6845703125	n/a	181950	4220
179.6337890625	n/a	183946	4210
180.4853515625	n/a	184818	2622
180.61328125	n/a	184949	4230
184.4267578125	n/a	188854	1111
185.271484375	n/a	189719	4210
185.4599609375	n/a	189912	4311
185.52734375	n/a	189981	1112
185.7587890625	n/a	190218	4220
187.3095703125	n/a	191806	4210
187.7783203125	n/a	192286	4312
189.97265625	n/a	194533	1311
190.0751953125	n/a	194638	1312
191.3525390625	n/a	195946	1111
192.2314453125	n/a	196846	4311
192.29296875	n/a	196909	1112
192.384765625	n/a	197003	4220
194.125	n/a	198785	4210
195.134765625	n/a	199819	4230
200.30078125	n/a	205109	1121
201.15625	n/a	205985	4311
201.2119140625	n/a	206042	1122
203.365234375	n/a	208247	4210
204.384765625	n/a	209291	4220
205.234375	n/a	210161	4210
205.7646484375	n/a	210704	4312
207.548828125	n/a	212531	1121
208.5166015625	n/a	213522	4230
208.548828125	n/a	213555	4311
208.6162109375	n/a	213624	1122
211.0283203125	n/a	216094	4210
212.02734375	n/a	217117	4312
212.2568359375	n/a	217352	3200
212.7353515625	n/a	217842	2621
217.064453125	n/a	222275	1121
217.7509765625	n/a	222978	1311
217.7958984375	n/a	223024	4311
217.83984375	n/a	223069	1122
217.875	n/a	223105	1312
218.1533203125	n/a	223390	4230
219.83203125	n/a	225109	4210
220.7353515625	n/a	226034	2622
221.373046875	n/a	226687	4312
224.6220703125	n/a	230014	1111
224.7001953125	n/a	230094	1112
230.580078125	n/a	236115	1121
231.5244140625	n/a	237082	4311
231.5908203125	n/a	237150	1122
231.6328125	n/a	237193	4230
233.8134765625	n/a	239426	4210
234.86328125	n/a	240501	4220
237.197265625	n/a	242891	4210
237.3662109375	n/a	243064	1121
238.19921875	n/a	243917	4311
238.2548828125	n/a	243974	1122
238.376953125	n/a	244099	4230
240.1162109375	n/a	245880	4210
240.3544921875	n/a	246124	1311
240.4814453125	n/a	246254	1312
241.1875	n/a	246977	4220
241.37109375	n/a	247165	1311
241.478515625	n/a	247275	1312
242.2783203125	n/a	248094	4210
242.5283203125	n/a	248350	4312
246.130859375	n/a	252039	1121
247.20703125	n/a	253141	4230
247.2294921875	n/a	253164	4311
247.306640625	n/a	253243	1122
249.619140625	n/a	255611	4210
250.498046875	n/a	256511	4220
251.34765625	n/a	257381	4210
251.767578125	n/a	257811	4312
252.0478515625	n/a	258098	3200
252.4853515625	n/a	258546	2621
254.3095703125	n/a	260414	1111
254.9755859375	n/a	261096	4311
255.021484375	n/a	261143	1112
255.103515625	n/a	261227	4220
257.2119140625	n/a	263386	4210
257.5224609375	n/a	263704	4312
260.4853515625	n/a	266738	2622
262.673828125	n/a	268979	1311
262.8017578125	n/a	269110	1312
263.75390625	n/a	270085	1311
263.8525390625	n/a	270186	1312
268.7998046875	n/a	275252	1311
268.9033203125	n/a	275358	1312
269.9873046875	n/a	276468	1121
270.443359375	n/a	276935	4230
270.9755859375	n/a	277480	4311
