onset	duration	sample	value
6.26953125	n/a	6421	3111
6.26953125	n/a	6421	1211
6.26953125	n/a	6421	3200
6.26953125	n/a	6421	3310
6.26953125	n/a	6421	4230
6.3896484375	n/a	6544	2621
11.8896484375	n/a	12176	2622
12.3095703125	n/a	12606	1321
12.455078125	n/a	12755	1322
18.7294921875	n/a	19180	1321
18.8603515625	n/a	19314	1322
19.515625	n/a	19985	1131
19.9267578125	n/a	20406	4311
19.94921875	n/a	20429	1132
20.390625	n/a	20881	4210
20.841796875	n/a	21343	4312
24.708984375	n/a	25303	1321
24.8427734375	n/a	25440	1322
25.5126953125	n/a	26126	1141
26.0791015625	n/a	26706	4230
26.123046875	n/a	26751	4311
26.1572265625	n/a	26786	1142
30.4931640625	n/a	31226	4210
30.4931640625	n/a	31226	4312
30.779296875	n/a	31519	1321
30.880859375	n/a	31623	1322
31.61328125	n/a	32373	1141
32.2021484375	n/a	32976	4230
32.5576171875	n/a	33340	4311
32.625	n/a	33409	1142
36.4267578125	n/a	37302	4210
36.830078125	n/a	37715	4312
37.12890625	n/a	38021	1321
37.2607421875	n/a	38156	1322
37.9736328125	n/a	38886	1131
38.6396484375	n/a	39568	4311
38.6845703125	n/a	39614	1132
39.146484375	n/a	40087	4220
40.3623046875	n/a	41332	4210
42.0556640625	n/a	43066	4312
42.06640625	n/a	43077	4230
43.05859375	n/a	44093	1321
43.1796875	n/a	44217	1322
43.9130859375	n/a	44968	1131
44.5126953125	n/a	45582	4210
44.8134765625	n/a	45890	4311
44.869140625	n/a	45947	1132
45.19140625	n/a	46277	4220
46.736328125	n/a	47859	4210
48.08984375	n/a	49245	4230
49.109375	n/a	50289	1321
49.2568359375	n/a	50440	1322
52.345703125	n/a	53603	4210
54.310546875	n/a	55615	4312
56.9990234375	n/a	58368	3200
57.080078125	n/a	58451	1321
57.205078125	n/a	58579	1322
57.3916015625	n/a	58770	2621
58.0009765625	n/a	59394	1131
59.056640625	n/a	60475	4311
59.08984375	n/a	60509	4220
59.1337890625	n/a	60554	1132
61.07421875	n/a	62541	4210
61.6748046875	n/a	63156	4230
65.3330078125	n/a	66902	1321
65.3916015625	n/a	66962	2622
65.4697265625	n/a	67042	1322
66.2685546875	n/a	67860	1131
66.724609375	n/a	68327	4311
66.7470703125	n/a	68350	1132
67.5087890625	n/a	69130	4210
67.849609375	n/a	69479	4312
68.6708984375	n/a	70320	4230
71.23046875	n/a	72941	1321
71.376953125	n/a	73091	1322
71.6201171875	n/a	73340	4210
72.189453125	n/a	73923	1131
72.9560546875	n/a	74708	4311
73.0	n/a	74753	1132
73.2119140625	n/a	74970	4220
74.8369140625	n/a	76634	4210
76.37109375	n/a	78205	4230
77.0458984375	n/a	78896	4210
77.0458984375	n/a	78896	4312
78.333984375	n/a	80215	1131
78.7783203125	n/a	80670	4311
78.80078125	n/a	80693	1132
81.44921875	n/a	83405	4230
82.54296875	n/a	84525	4210
83.0107421875	n/a	85004	1321
83.1181640625	n/a	85114	1322
83.376953125	n/a	85379	4312
84.0244140625	n/a	86042	1131
85.0029296875	n/a	87044	4220
85.0029296875	n/a	87044	4311
85.068359375	n/a	87111	1132
88.2294921875	n/a	90348	4210
88.6005859375	n/a	90728	4312
92.162109375	n/a	94375	1321
92.2646484375	n/a	94480	1322
97.5	n/a	99841	3200
97.8935546875	n/a	100244	2621
98.560546875	n/a	100927	1321
98.681640625	n/a	101051	1322
99.6376953125	n/a	102030	1131
100.4921875	n/a	102905	4220
100.5263671875	n/a	102940	4311
100.5810546875	n/a	102996	1132
103.333984375	n/a	105815	4210
104.326171875	n/a	106831	4312
106.1435546875	n/a	108692	2622
106.939453125	n/a	109507	1131
107.89453125	n/a	110485	4311
107.9619140625	n/a	110554	1132
108.00390625	n/a	110597	4220
110.501953125	n/a	113155	4210
111.484375	n/a	114161	4312
112.28515625	n/a	114981	1321
112.376953125	n/a	115075	1322
113.4072265625	n/a	116130	1131
113.5849609375	n/a	116312	4311
113.5849609375	n/a	116312	1132
114.2890625	n/a	117033	4312
117.783203125	n/a	120611	1321
117.884765625	n/a	120715	1322
118.921875	n/a	121777	1141
119.76953125	n/a	122645	4230
119.9130859375	n/a	122792	4311
119.98046875	n/a	122861	1142
122.9521484375	n/a	125904	4210
123.583984375	n/a	126551	4312
127.0615234375	n/a	130112	1321
127.154296875	n/a	130207	1322
128.220703125	n/a	131299	1131
129.0654296875	n/a	132164	4220
129.1982421875	n/a	132300	4311
129.265625	n/a	132369	1132
131.455078125	n/a	134611	4210
132.20703125	n/a	135381	4230
134.6328125	n/a	137865	1321
134.759765625	n/a	137995	1322
135.8330078125	n/a	139094	1141
136.84375	n/a	140129	4311
136.91015625	n/a	140197	1142
139.0	n/a	142337	3200
139.3955078125	n/a	142742	2621
140.404296875	n/a	143775	4210
141.6064453125	n/a	145006	4312
144.794921875	n/a	148271	1141
145.384765625	n/a	148875	4311
145.4169921875	n/a	148908	1142
145.5107421875	n/a	149004	4230
147.3955078125	n/a	150934	2622
150.3623046875	n/a	153972	1321
150.501953125	n/a	154115	1322
151.611328125	n/a	155251	1141
152.5458984375	n/a	156208	4311
152.611328125	n/a	156275	1142
156.365234375	n/a	160119	4210
156.8251953125	n/a	160590	4312
157.4130859375	n/a	161192	1321
157.55078125	n/a	161333	1322
158.708984375	n/a	162519	1141
159.4970703125	n/a	163326	4230
159.552734375	n/a	163383	4311
159.6083984375	n/a	163440	1142
162.400390625	n/a	166299	4210
163.5498046875	n/a	167476	4312
166.5126953125	n/a	170510	1321
166.640625	n/a	170641	1322
167.6923828125	n/a	171718	1141
167.859375	n/a	171889	4311
167.859375	n/a	171889	1142
168.2900390625	n/a	172330	4312
173.0634765625	n/a	177218	1321
173.1708984375	n/a	177328	1322
179.4326171875	n/a	183740	1321
179.5380859375	n/a	183848	3200
179.580078125	n/a	183891	1322
179.896484375	n/a	184215	2621
180.8056640625	n/a	185146	1141
181.447265625	n/a	185803	4230
181.8017578125	n/a	186166	4311
181.869140625	n/a	186235	1142
184.75	n/a	189185	4210
185.7998046875	n/a	190260	4220
188.3974609375	n/a	192920	2622
189.0146484375	n/a	193552	1321
189.16015625	n/a	193701	1322
190.408203125	n/a	194979	1141
191.0732421875	n/a	195660	4210
191.294921875	n/a	195887	4311
191.3515625	n/a	195945	1142
191.5927734375	n/a	196192	4230
193.8837890625	n/a	198538	4210
194.4423828125	n/a	199110	4312
198.2138671875	n/a	202972	1131
199.0126953125	n/a	203790	4220
199.068359375	n/a	203847	4311
199.125	n/a	203905	1132
201.0458984375	n/a	205872	4210
201.8759765625	n/a	206722	4230
203.66796875	n/a	208557	1321
203.765625	n/a	208657	1322
203.9287109375	n/a	208824	4210
204.794921875	n/a	209711	4312
205.109375	n/a	210033	1131
206.154296875	n/a	211103	4220
206.1982421875	n/a	211148	4311
206.275390625	n/a	211227	1132
208.7890625	n/a	213801	4210
209.5888671875	n/a	214620	4230
212.427734375	n/a	217527	4210
212.828125	n/a	217937	4312
212.8876953125	n/a	217998	1321
212.9931640625	n/a	218106	1322
214.3740234375	n/a	219520	1141
215.01953125	n/a	220181	4230
215.2958984375	n/a	220464	4311
215.36328125	n/a	220533	1142
217.4658203125	n/a	222686	4210
218.3955078125	n/a	223638	4220
220.064453125	n/a	225347	4210
220.2646484375	n/a	225552	1321
220.3681640625	n/a	225658	1322
220.71484375	n/a	226013	3200
220.9921875	n/a	226297	4312
221.1484375	n/a	226457	2621
221.783203125	n/a	227107	1131
222.7705078125	n/a	228118	4311
222.826171875	n/a	228175	4220
222.837890625	n/a	228187	1132
225.0205078125	n/a	230422	4210
225.9697265625	n/a	231394	4230
228.25	n/a	233729	4210
228.990234375	n/a	234487	4312
229.3984375	n/a	234905	2622
229.833984375	n/a	235351	1321
229.9658203125	n/a	235486	1322
230.2626953125	n/a	235790	1131
231.240234375	n/a	236791	4311
231.2958984375	n/a	236848	4220
231.306640625	n/a	236859	1132
233.3388671875	n/a	238940	4210
234.138671875	n/a	239759	4230
235.8388671875	n/a	241500	4210
235.8388671875	n/a	241500	4312
236.5849609375	n/a	242264	1321
236.6884765625	n/a	242370	1322
237.0517578125	n/a	242742	1141
237.830078125	n/a	243539	4230
237.9970703125	n/a	243710	4311
238.0634765625	n/a	243778	1142
240.67578125	n/a	246453	4210
240.935546875	n/a	246719	4312
242.91015625	n/a	248741	1141
243.853515625	n/a	249707	4230
243.99609375	n/a	249853	4311
244.07421875	n/a	249933	1142
246.88671875	n/a	252813	4210
247.6953125	n/a	253641	4312
248.3154296875	n/a	254276	1321
248.4521484375	n/a	254416	1322
248.814453125	n/a	254787	1141
249.7255859375	n/a	255720	4311
249.78125	n/a	255777	1142
249.84375	n/a	255841	4230
251.7431640625	n/a	257786	4210
252.5732421875	n/a	258636	4312
256.8857421875	n/a	263052	1321
257.0078125	n/a	263177	1322
257.4130859375	n/a	263592	1141
258.4130859375	n/a	264616	4311
258.48046875	n/a	264685	1142
258.4912109375	n/a	264696	4230
261.630859375	n/a	267911	4210
261.6611328125	n/a	267942	3200
262.150390625	n/a	268443	2621
262.4326171875	n/a	268732	4312
263.8857421875	n/a	270220	1321
264.017578125	n/a	270355	1322
264.435546875	n/a	270783	1141
265.388671875	n/a	271759	4230
265.4208984375	n/a	271792	4311
265.48828125	n/a	271861	1142
267.890625	n/a	274321	4210
268.6396484375	n/a	275088	4312
270.150390625	n/a	276635	2622
270.765625	n/a	277265	1321
270.8671875	n/a	277369	1322
275.666015625	n/a	282283	1321
275.7734375	n/a	282393	1322
276.2626953125	n/a	282894	1131
277.1064453125	n/a	283758	4220
277.173828125	n/a	283827	4311
277.2294921875	n/a	283884	1132
279.2607421875	n/a	285964	4210
279.53125	n/a	286241	4312
282.216796875	n/a	288991	1321
282.3408203125	n/a	289118	1322
282.7861328125	n/a	289574	1131
283.7392578125	n/a	290550	4220
283.7392578125	n/a	290550	4311
283.8056640625	n/a	290618	1132
285.478515625	n/a	292331	4210
286.20703125	n/a	293077	4230
287.45703125	n/a	294357	4210
288.666015625	n/a	295595	1321
288.76953125	n/a	295701	1322
289.0830078125	n/a	296022	4312
289.3193359375	n/a	296264	1131
290.23046875	n/a	297197	4220
290.23046875	n/a	297197	4311
290.28515625	n/a	297253	1132
292.59765625	n/a	299621	4210
294.107421875	n/a	301167	4230
295.15625	n/a	302241	4210
295.9970703125	n/a	303102	4312
297.2373046875	n/a	304372	1321
297.3837890625	n/a	304522	1322
297.9111328125	n/a	305062	1131
298.9775390625	n/a	306154	4311
299.0107421875	n/a	306188	4220
299.0546875	n/a	306233	1132
301.126953125	n/a	308355	4210
302.0068359375	n/a	309256	4230
302.27734375	n/a	309533	3200
302.65234375	n/a	309917	2621
302.7265625	n/a	309993	4210
305.0869140625	n/a	312410	1321
305.220703125	n/a	312547	1322
305.6142578125	n/a	312950	4312
305.7939453125	n/a	313134	1131
306.7490234375	n/a	314112	4311
306.759765625	n/a	314123	4220
306.81640625	n/a	314181	1132
308.859375	n/a	316273	4210
310.16796875	n/a	317613	4230
310.90234375	n/a	318365	2622
310.927734375	n/a	318391	4210
311.1376953125	n/a	318606	1321
311.271484375	n/a	318743	1322
311.96875	n/a	319457	4312
314.4833984375	n/a	322032	4230
315.5673828125	n/a	323142	4210
316.0673828125	n/a	323654	1321
316.1748046875	n/a	323764	1322
316.8017578125	n/a	324406	1141
317.580078125	n/a	325203	4230
317.802734375	n/a	325431	4311
317.869140625	n/a	325499	1142
320.8095703125	n/a	328510	4210
322.7373046875	n/a	330484	1321
322.8720703125	n/a	330622	1322
323.5009765625	n/a	331266	1141
324.2333984375	n/a	332016	4230
324.43359375	n/a	332221	4311
324.5009765625	n/a	332290	1142
327.37109375	n/a	335229	4210
327.5234375	n/a	335385	4312
332.19140625	n/a	340165	1141
332.7333984375	n/a	340720	4311
332.7626953125	n/a	340750	1142
333.4375	n/a	341441	4230
334.509765625	n/a	342539	4210
336.0830078125	n/a	344150	4312
338.017578125	n/a	346131	1321
338.125	n/a	346241	1322
338.8310546875	n/a	346964	1141
339.75390625	n/a	347909	4311
339.8193359375	n/a	347976	1142
339.8818359375	n/a	348040	4230
341.828125	n/a	350033	4210
342.76171875	n/a	350989	4220
343.142578125	n/a	351379	3200
343.6533203125	n/a	351902	2621
344.677734375	n/a	352951	4210
344.9384765625	n/a	353218	1321
345.08203125	n/a	353365	1322
345.7333984375	n/a	354032	4312
345.7802734375	n/a	354080	1141
346.6591796875	n/a	354980	4230
346.7802734375	n/a	355104	4311
346.84765625	n/a	355173	1142
349.267578125	n/a	357651	4210
349.62890625	n/a	358021	4312
351.904296875	n/a	360351	2622
354.91796875	n/a	363437	1131
355.818359375	n/a	364359	4220
355.83984375	n/a	364381	4311
355.9072265625	n/a	364450	1132
358.4267578125	n/a	367030	4210
359.1103515625	n/a	367730	4312
361.388671875	n/a	370063	1321
361.5126953125	n/a	370190	1322
362.3056640625	n/a	371002	1131
363.2734375	n/a	371993	4311
363.33984375	n/a	372061	1132
363.4814453125	n/a	372206	4220
365.08984375	n/a	373853	4210
367.7578125	n/a	376585	4312
367.9189453125	n/a	376750	1321
368.048828125	n/a	376883	1322
368.849609375	n/a	377703	1131
369.771484375	n/a	378647	4311
369.8388671875	n/a	378716	1132
369.9609375	n/a	378841	4220
371.5654296875	n/a	380484	4210
372.94921875	n/a	381901	4230
373.7119140625	n/a	382682	4210
375.11328125	n/a	384117	4312
375.23828125	n/a	384245	1141
375.482421875	n/a	384495	4311
375.482421875	n/a	384495	1142
375.8740234375	n/a	384896	4312
379.7890625	n/a	388905	1321
379.896484375	n/a	389015	1322
380.76171875	n/a	389901	1131
381.6845703125	n/a	390846	4311
381.75	n/a	390913	1132
381.8134765625	n/a	390978	4220
383.478515625	n/a	392683	4210
384.12109375	n/a	393341	3200
384.392578125	n/a	393619	4312
384.6552734375	n/a	393888	2621
388.9423828125	n/a	398278	1321
389.04296875	n/a	398381	1322
389.9453125	n/a	399305	1141
390.87890625	n/a	400261	4230
391.001953125	n/a	400387	4311
391.078125	n/a	400465	1142
392.6552734375	n/a	402080	2622
393.7373046875	n/a	403188	4210
394.068359375	n/a	403527	4312
396.54296875	n/a	406061	1321
396.634765625	n/a	406155	1322
397.587890625	n/a	407131	1141
398.46484375	n/a	408029	4311
398.4755859375	n/a	408040	4230
398.5205078125	n/a	408086	1142
400.7197265625	n/a	410338	4210
400.8603515625	n/a	410482	4312
405.291015625	n/a	415019	1321
405.41796875	n/a	415149	1322
406.3603515625	n/a	416114	1131
406.9833984375	n/a	416752	4220
407.283203125	n/a	417059	4311
407.3505859375	n/a	417128	1132
409.0869140625	n/a	418906	4210
409.9404296875	n/a	419780	4230
413.2197265625	n/a	423138	1321
413.3251953125	n/a	423246	1322
414.3095703125	n/a	424254	1131
414.9990234375	n/a	424960	4210
415.1982421875	n/a	425164	4311
415.2548828125	n/a	425222	1132
415.638671875	n/a	425615	4220
416.7529296875	n/a	426756	4210
418.337890625	n/a	428379	4312
420.1904296875	n/a	430276	1321
420.2939453125	n/a	430382	1322
421.31640625	n/a	431429	1131
422.060546875	n/a	432191	4311
422.1044921875	n/a	432236	1132
422.5869140625	n/a	432730	4220
423.23828125	n/a	433397	4210
424.4228515625	n/a	434610	4230
425.1865234375	n/a	435392	3200
425.595703125	n/a	435811	4210
425.6572265625	n/a	435874	2621
426.388671875	n/a	436623	4312
429.140625	n/a	439441	1321
429.2646484375	n/a	439568	1322
430.2919921875	n/a	440620	1131
430.9921875	n/a	441337	4311
431.037109375	n/a	441383	1132
431.298828125	n/a	441651	4220
432.654296875	n/a	443039	4210
433.9072265625	n/a	444322	2622
434.1591796875	n/a	444580	4312
436.3740234375	n/a	446848	1321
436.498046875	n/a	446975	1322
437.5439453125	n/a	448046	1131
437.6767578125	n/a	448182	4311
437.6767578125	n/a	448182	1132
438.228515625	n/a	448747	4312
442.0703125	n/a	452681	1321
442.166015625	n/a	452779	1322
443.2626953125	n/a	453902	1141
443.9619140625	n/a	454618	4230
444.1845703125	n/a	454846	4311
444.2509765625	n/a	454914	1142
446.359375	n/a	457073	4210
447.5234375	n/a	458265	4312
448.5224609375	n/a	459288	1321
448.6484375	n/a	459417	1322
449.734375	n/a	460529	1131
450.6123046875	n/a	461428	4220
450.6123046875	n/a	461428	4311
450.66796875	n/a	461485	1132
452.7255859375	n/a	463592	4210
453.3466796875	n/a	464228	4312
457.021484375	n/a	467991	1321
457.166015625	n/a	468139	1322
458.271484375	n/a	469271	1131
459.171875	n/a	470193	4311
459.2275390625	n/a	470250	1132
459.2490234375	n/a	470272	4220
461.15625	n/a	472225	4210
463.0615234375	n/a	474176	4312
464.6728515625	n/a	475826	1321
464.798828125	n/a	475955	1322
465.9326171875	n/a	477116	1131
466.69921875	n/a	477901	3200
466.9326171875	n/a	478140	4311
466.9990234375	n/a	478208	1132
467.0810546875	n/a	478292	4220
467.1591796875	n/a	478372	2621
469.1279296875	n/a	480388	4210
469.9794921875	n/a	481260	4312
470.421875	n/a	481713	4230
471.525390625	n/a	482843	1321
471.66796875	n/a	482989	1322
472.77734375	n/a	484125	4210
472.8232421875	n/a	484172	1131
473.701171875	n/a	485071	4311
473.7568359375	n/a	485128	1132
474.0087890625	n/a	485386	4220
475.0810546875	n/a	486484	4210
475.4091796875	n/a	486820	2622
476.0859375	n/a	487513	4230
480.3427734375	n/a	491872	1321
480.466796875	n/a	491999	1322
481.7001953125	n/a	493262	1141
482.5673828125	n/a	494150	4311
482.6220703125	n/a	494206	1142
485.013671875	n/a	496655	4210
485.90625	n/a	497569	4312
488.3251953125	n/a	500046	1321
488.4658203125	n/a	500190	1322
489.6787109375	n/a	501432	1131
490.53515625	n/a	502309	4311
490.58984375	n/a	502365	1132
490.6416015625	n/a	502418	4220
492.6884765625	n/a	504514	4210
493.8427734375	n/a	505696	4312
497.572265625	n/a	509515	1321
497.6689453125	n/a	509614	1322
497.79296875	n/a	509741	4230
498.97265625	n/a	510949	1141
499.828125	n/a	511825	4311
499.8837890625	n/a	511882	1142
504.3720703125	n/a	516478	1321
504.50390625	n/a	516613	1322
504.7001953125	n/a	516814	4210
504.7783203125	n/a	516894	4312
507.716796875	n/a	519903	3200
508.16015625	n/a	520357	2621
510.123046875	n/a	522367	1321
510.224609375	n/a	522471	1322
511.5673828125	n/a	523846	1141
511.5791015625	n/a	523858	4230
512.3447265625	n/a	524642	4311
512.3896484375	n/a	524688	1142
515.0966796875	n/a	527460	4210
515.9501953125	n/a	528334	4312
516.4111328125	n/a	528806	2622
516.5927734375	n/a	528992	1321
516.732421875	n/a	529135	1322
518.0791015625	n/a	530514	1141
518.8662109375	n/a	531320	4230
519.0693359375	n/a	531528	4311
519.1357421875	n/a	531596	1142
521.5458984375	n/a	534064	4210
521.5458984375	n/a	534064	4312
526.2431640625	n/a	538874	1321
526.3359375	n/a	538969	1322
527.75	n/a	540417	1141
528.583984375	n/a	541271	4230
528.8173828125	n/a	541510	4311
528.8955078125	n/a	541590	1142
531.962890625	n/a	544731	4210
532.7021484375	n/a	545488	4230
533.3642578125	n/a	546166	4210
534.2734375	n/a	547097	1321
534.4130859375	n/a	547240	1322
534.4609375	n/a	547289	4312
535.8173828125	n/a	548678	1131
536.6953125	n/a	549577	4311
536.751953125	n/a	549635	1132
536.7734375	n/a	549657	4220
538.658203125	n/a	551587	4210
541.8173828125	n/a	554822	4220
543.4443359375	n/a	556488	1321
543.578125	n/a	556625	1322
543.8828125	n/a	556937	4210
543.8828125	n/a	556937	4312
543.8984375	n/a	556953	1141
544.6865234375	n/a	557760	4311
544.7421875	n/a	557817	1142
544.9443359375	n/a	558024	4230
547.259765625	n/a	560395	4210
547.259765625	n/a	560395	4312
548.654296875	n/a	561823	3200
549.162109375	n/a	562343	2621
549.7265625	n/a	562921	1321
549.8271484375	n/a	563024	1322
550.212890625	n/a	563419	1141
550.7568359375	n/a	563976	4230
551.091796875	n/a	564319	4311
551.146484375	n/a	564375	1142
553.564453125	n/a	566851	4210
553.876953125	n/a	567171	4312
555.994140625	n/a	569339	1321
556.125	n/a	569473	1322
556.5107421875	n/a	569868	1141
557.2109375	n/a	570585	4230
557.3212890625	n/a	570698	4311
557.3779296875	n/a	570756	1142
557.412109375	n/a	570791	2622
559.25390625	n/a	572677	4210
561.4306640625	n/a	574906	4312
562.0947265625	n/a	575586	1321
562.2412109375	n/a	575736	1322
562.623046875	n/a	576127	1141
563.30078125	n/a	576821	4230
563.478515625	n/a	577003	4311
563.5341796875	n/a	577060	1142
565.484375	n/a	579057	4210
567.509765625	n/a	581131	4312
570.90234375	n/a	584605	1141
571.6357421875	n/a	585356	4230
571.658203125	n/a	585379	4311
571.7021484375	n/a	585424	1142
574.3828125	n/a	588169	4210
575.115234375	n/a	588919	4312
577.5947265625	n/a	591458	1321
577.7001953125	n/a	591566	1322
578.1796875	n/a	592057	1131
579.001953125	n/a	592899	4220
579.0458984375	n/a	592944	4311
579.1015625	n/a	593001	1132
580.9384765625	n/a	594882	4210
582.9658203125	n/a	596958	4312
584.07421875	n/a	598093	1321
584.171875	n/a	598193	1322
584.6875	n/a	598721	1141
585.4326171875	n/a	599484	4230
585.48828125	n/a	599541	4311
585.544921875	n/a	599599	1142
587.55078125	n/a	601653	4210
588.9462890625	n/a	603082	4312
589.818359375	n/a	603975	3200
590.1640625	n/a	604329	2621
590.375	n/a	604545	1321
590.5068359375	n/a	604680	1322
591.01953125	n/a	605205	1131
591.9970703125	n/a	606206	4220
