file_basename	sampling_rate
sub-01_ses-01_task-GuardDuty_run-1	1024
sub-02_ses-01_task-GuardDuty_run-1	1024
sub-03_ses-01_task-GuardDuty_run-1	1024
sub-04_ses-01_task-GuardDuty_run-1	1024
sub-05_ses-01_task-GuardDuty_run-1	1024
sub-06_ses-01_task-GuardDuty_run-1	1024
sub-07_ses-01_task-GuardDuty_run-1	1024
sub-08_ses-01_task-GuardDuty_run-1	1024
sub-09_ses-01_task-GuardDuty_run-1	1024
sub-10_ses-01_task-GuardDuty_run-1	1024
sub-11_ses-01_task-GuardDuty_run-1	1024
sub-12_ses-01_task-GuardDuty_run-1	1024
sub-13_ses-01_task-GuardDuty_run-1	1024
sub-14_ses-01_task-GuardDuty_run-1	1024
sub-15_ses-01_task-GuardDuty_run-1	1024
sub-16_ses-01_task-GuardDuty_run-1	1024
sub-17_ses-01_task-GuardDuty_run-1	1024
sub-17_ses-01_task-GuardDuty_run-2	1024
sub-18_ses-01_task-GuardDuty_run-1	1024
sub-19_ses-01_task-GuardDuty_run-1	1024
sub-20_ses-01_task-GuardDuty_run-1	1024
sub-21_ses-01_task-GuardDuty_run-1	1024
sub-22_ses-01_task-GuardDuty_run-1	1024
sub-23_ses-01_task-GuardDuty_run-1	1024
sub-24_ses-01_task-GuardDuty_run-1	1024
sub-25_ses-01_task-GuardDuty_run-1	1024
sub-25_ses-01_task-GuardDuty_run-2	1024
sub-26_ses-01_task-GuardDuty_run-1	1024
sub-27_ses-01_task-GuardDuty_run-1	1024
