onset	duration	sample	event_type	face_type	rep_status	rep_lag	trial	value	stim_file
23.6730909091	n/a	26040.4	show_face_initial	famous_face	first_show	n/a	1	2	f141.bmp
24.5249090909	n/a	26977.4	right_press	n/a	n/a	n/a	1	4096	n/a
24.6049090909	n/a	27065.4	show_circle	n/a	n/a	n/a	1	0	circle.bmp
26.3049090909	n/a	28935.4	show_cross	n/a	n/a	n/a	2	1	cross.bmp
26.8958181818	n/a	29585.4	show_face	famous_face	immediate_repeat	1	2	6	f141.bmp
27.7785454545	n/a	30556.4	show_circle	n/a	n/a	n/a	2	0	circle.bmp
28.0912727273	n/a	30900.4	right_press	n/a	n/a	n/a	2	4096	n/a
29.4785454545	n/a	32426.4	show_cross	n/a	n/a	n/a	3	1	cross.bmp
30.0030909091	n/a	33003.4	show_face	famous_face	first_show	n/a	3	5	f014.bmp
30.8221818182	n/a	33904.4	left_press	n/a	n/a	n/a	3	256	n/a
30.8994545455	n/a	33989.4	show_circle	n/a	n/a	n/a	3	0	circle.bmp
32.5994545455	n/a	35859.4	show_cross	n/a	n/a	n/a	4	1	cross.bmp
33.0767272727	n/a	36384.4	show_face	unfamiliar_face	first_show	n/a	4	13	u149.bmp
33.8794545455	n/a	37267.4	right_press	n/a	n/a	n/a	4	4096	n/a
34.0476363636	n/a	37452.4	show_circle	n/a	n/a	n/a	4	0	circle.bmp
35.7476363636	n/a	39322.4	show_cross	n/a	n/a	n/a	5	1	cross.bmp
36.3349090909	n/a	39968.4	show_face	unfamiliar_face	immediate_repeat	1	5	14	u149.bmp
37.0094545455	n/a	40710.4	right_press	n/a	n/a	n/a	5	4096	n/a
37.174	n/a	40891.4	show_circle	n/a	n/a	n/a	5	0	circle.bmp
38.874	n/a	42761.4	show_cross	n/a	n/a	n/a	6	1	cross.bmp
39.3912727273	n/a	43330.4	show_face	scrambled_face	first_show	n/a	6	17	s094.bmp
40.0558181818	n/a	44061.4	left_press	n/a	n/a	n/a	6	256	n/a
40.3903636364	n/a	44429.4	show_circle	n/a	n/a	n/a	6	0	circle.bmp
42.0903636364	n/a	46299.4	show_cross	n/a	n/a	n/a	7	1	cross.bmp
42.6821818182	n/a	46950.4	show_face	unfamiliar_face	first_show	n/a	7	13	u093.bmp
43.5112727273	n/a	47862.4	right_press	n/a	n/a	n/a	7	4096	n/a
43.5249090909	n/a	47877.4	show_circle	n/a	n/a	n/a	7	0	circle.bmp
45.2249090909	n/a	49747.4	show_cross	n/a	n/a	n/a	8	1	cross.bmp
45.8230909091	n/a	50405.4	show_face	famous_face	first_show	n/a	8	5	f125.bmp
46.7821818182	n/a	51460.4	left_press	n/a	n/a	n/a	8	256	n/a
46.8258181818	n/a	51508.4	show_circle	n/a	n/a	n/a	8	0	circle.bmp
48.5258181818	n/a	53378.4	show_cross	n/a	n/a	n/a	9	1	cross.bmp
48.9967272727	n/a	53896.4	show_face	famous_face	first_show	n/a	9	5	f109.bmp
49.8694545455	n/a	54856.4	show_circle	n/a	n/a	n/a	9	0	circle.bmp
50.0503636364	n/a	55055.4	left_press	n/a	n/a	n/a	9	256	n/a
51.5694545455	n/a	56726.4	show_cross	n/a	n/a	n/a	10	1	cross.bmp
52.1376363636	n/a	57351.4	show_face	famous_face	delayed_repeat	7	10	7	f014.bmp
53.0085454545	n/a	58309.4	show_circle	n/a	n/a	n/a	10	0	circle.bmp
53.0567272727	n/a	58362.4	right_press	n/a	n/a	n/a	10	4096	n/a
54.7085454545	n/a	60179.4	show_cross	n/a	n/a	n/a	11	1	cross.bmp
55.3285454545	n/a	60861.4	show_face	famous_face	first_show	n/a	11	5	f010.bmp
56.0712727273	n/a	61678.4	left_press	n/a	n/a	n/a	11	256	n/a
56.1485454545	n/a	61763.4	show_circle	n/a	n/a	n/a	11	0	circle.bmp
57.8485454545	n/a	63633.4	show_cross	n/a	n/a	n/a	12	1	cross.bmp
58.5021818182	n/a	64352.4	show_face	scrambled_face	first_show	n/a	12	17	s042.bmp
59.3876363636	n/a	65326.4	show_circle	n/a	n/a	n/a	12	0	circle.bmp
59.4321818182	n/a	65375.4	left_press	n/a	n/a	n/a	12	256	n/a
61.0876363636	n/a	67196.4	show_cross	n/a	n/a	n/a	13	1	cross.bmp
61.5758181818	n/a	67733.4	show_face	scrambled_face	immediate_repeat	1	13	18	s042.bmp
62.5012727273	n/a	68751.4	show_circle	n/a	n/a	n/a	13	0	circle.bmp
62.5858181818	n/a	68844.4	left_press	n/a	n/a	n/a	13	256	n/a
64.2012727273	n/a	70621.4	show_cross	n/a	n/a	n/a	14	1	cross.bmp
64.7012727273	n/a	71171.4	show_face	scrambled_face	delayed_repeat	8	14	19	s094.bmp
65.6585454545	n/a	72224.4	show_circle	n/a	n/a	n/a	14	0	circle.bmp
65.7221818182	n/a	72294.4	right_press	n/a	n/a	n/a	14	4096	n/a
67.3585454545	n/a	74094.4	show_cross	n/a	n/a	n/a	15	1	cross.bmp
68.0076363636	n/a	74808.4	show_face	scrambled_face	first_show	n/a	15	17	s036.bmp
68.8312727273	n/a	75714.4	right_press	n/a	n/a	n/a	15	4096	n/a
69.0012727273	n/a	75901.4	show_circle	n/a	n/a	n/a	15	0	circle.bmp
70.7012727273	n/a	77771.4	show_cross	n/a	n/a	n/a	16	1	cross.bmp
71.2330909091	n/a	78356.4	show_face	scrambled_face	immediate_repeat	1	16	18	s036.bmp
72.1512727273	n/a	79366.4	left_press	n/a	n/a	n/a	16	256	n/a
72.2230909091	n/a	79445.4	show_circle	n/a	n/a	n/a	16	0	circle.bmp
73.9230909091	n/a	81315.4	show_cross	n/a	n/a	n/a	17	1	cross.bmp
74.5058181818	n/a	81956.4	show_face	unfamiliar_face	delayed_repeat	10	17	15	u093.bmp
75.5094545455	n/a	83060.4	show_circle	n/a	n/a	n/a	17	0	circle.bmp
75.5149090909	n/a	83066.4	left_press	n/a	n/a	n/a	17	256	n/a
77.2094545455	n/a	84930.4	show_cross	n/a	n/a	n/a	18	1	cross.bmp
77.7967272727	n/a	85576.4	show_face	famous_face	first_show	n/a	18	5	f043.bmp
78.7067272727	n/a	86577.4	show_circle	n/a	n/a	n/a	18	0	circle.bmp
78.8212727273	n/a	86703.4	left_press	n/a	n/a	n/a	18	256	n/a
80.4067272727	n/a	88447.4	show_cross	n/a	n/a	n/a	19	1	cross.bmp
81.054	n/a	89159.4	show_face	famous_face	delayed_repeat	11	19	7	f125.bmp
81.8949090909	n/a	90084.4	show_circle	n/a	n/a	n/a	19	0	circle.bmp
81.9094545455	n/a	90100.4	left_press	n/a	n/a	n/a	19	256	n/a
83.5949090909	n/a	91954.4	show_cross	n/a	n/a	n/a	20	1	cross.bmp
84.1958181818	n/a	92615.4	show_face	scrambled_face	first_show	n/a	20	17	s060.bmp
85.1621818182	n/a	93678.4	show_circle	n/a	n/a	n/a	20	0	circle.bmp
85.2576363636	n/a	93783.4	right_press	n/a	n/a	n/a	20	4096	n/a
86.8621818182	n/a	95548.4	show_cross	n/a	n/a	n/a	21	1	cross.bmp
87.4021818182	n/a	96142.4	show_face	scrambled_face	immediate_repeat	1	21	18	s060.bmp
88.2394545455	n/a	97063.4	show_circle	n/a	n/a	n/a	21	0	circle.bmp
88.6330909091	n/a	97496.4	right_press	n/a	n/a	n/a	21	4096	n/a
89.9394545455	n/a	98933.4	show_cross	n/a	n/a	n/a	22	1	cross.bmp
90.4430909091	n/a	99487.4	show_face	famous_face	delayed_repeat	13	22	7	f109.bmp
91.1485454545	n/a	100263.4	left_press	n/a	n/a	n/a	22	256	n/a
91.4603636364	n/a	100606.4	show_circle	n/a	n/a	n/a	22	0	circle.bmp
93.1603636364	n/a	102476.4	show_cross	n/a	n/a	n/a	23	1	cross.bmp
93.6330909091	n/a	102996.4	show_face	scrambled_face	first_show	n/a	23	17	s116.bmp
94.3458181818	n/a	103780.4	left_press	n/a	n/a	n/a	23	256	n/a
94.554	n/a	104009.4	show_circle	n/a	n/a	n/a	23	0	circle.bmp
96.254	n/a	105879.4	show_cross	n/a	n/a	n/a	24	1	cross.bmp
96.7076363636	n/a	106378.4	show_face	scrambled_face	immediate_repeat	1	24	18	s116.bmp
97.2467272727	n/a	106971.4	right_press	n/a	n/a	n/a	24	4096	n/a
97.634	n/a	107397.4	show_circle	n/a	n/a	n/a	24	0	circle.bmp
99.334	n/a	109267.4	show_cross	n/a	n/a	n/a	25	1	cross.bmp
99.7976363636	n/a	109777.4	show_face	famous_face	delayed_repeat	14	25	7	f010.bmp
100.4803636364	n/a	110528.4	left_press	n/a	n/a	n/a	25	256	n/a
100.6721818182	n/a	110739.4	show_circle	n/a	n/a	n/a	25	0	circle.bmp
102.3721818182	n/a	112609.4	show_cross	n/a	n/a	n/a	26	1	cross.bmp
102.9049090909	n/a	113195.4	show_face	famous_face	first_show	n/a	26	5	f021.bmp
103.7594545455	n/a	114135.4	show_circle	n/a	n/a	n/a	26	0	circle.bmp
103.8067272727	n/a	114187.4	right_press	n/a	n/a	n/a	26	4096	n/a
105.4594545455	n/a	116005.4	show_cross	n/a	n/a	n/a	27	1	cross.bmp
105.9458181818	n/a	116540.4	show_face	scrambled_face	first_show	n/a	27	17	s113.bmp
106.8294545455	n/a	117512.4	show_circle	n/a	n/a	n/a	27	0	circle.bmp
107.0076363636	n/a	117708.4	left_press	n/a	n/a	n/a	27	256	n/a
108.5294545455	n/a	119382.4	show_cross	n/a	n/a	n/a	28	1	cross.bmp
109.1521818182	n/a	120067.4	show_face	scrambled_face	immediate_repeat	1	28	18	s113.bmp
110.0058181818	n/a	121006.4	show_circle	n/a	n/a	n/a	28	0	circle.bmp
110.0430909091	n/a	121047.4	left_press	n/a	n/a	n/a	28	256	n/a
111.7058181818	n/a	122876.4	show_cross	n/a	n/a	n/a	29	1	cross.bmp
112.1758181818	n/a	123393.4	show_face	scrambled_face	first_show	n/a	29	17	s012.bmp
113.074	n/a	124381.4	show_circle	n/a	n/a	n/a	29	0	circle.bmp
113.3358181818	n/a	124669.4	left_press	n/a	n/a	n/a	29	256	n/a
114.774	n/a	126251.4	show_cross	n/a	n/a	n/a	30	1	cross.bmp
115.3667272727	n/a	126903.4	show_face	famous_face	delayed_repeat	12	30	7	f043.bmp
116.2730909091	n/a	127900.4	show_circle	n/a	n/a	n/a	30	0	circle.bmp
116.7758181818	n/a	128453.4	right_press	n/a	n/a	n/a	30	4096	n/a
117.9730909091	n/a	129770.4	show_cross	n/a	n/a	n/a	31	1	cross.bmp
118.5576363636	n/a	130413.4	show_face	scrambled_face	first_show	n/a	31	17	s037.bmp
119.1885454545	n/a	131107.4	left_press	n/a	n/a	n/a	31	256	n/a
119.4885454545	n/a	131437.4	show_circle	n/a	n/a	n/a	31	0	circle.bmp
121.1885454545	n/a	133307.4	show_cross	n/a	n/a	n/a	32	1	cross.bmp
121.6476363636	n/a	133812.4	show_face	famous_face	first_show	n/a	32	5	f034.bmp
122.374	n/a	134611.4	left_press	n/a	n/a	n/a	32	256	n/a
122.5312727273	n/a	134784.4	show_circle	n/a	n/a	n/a	32	0	circle.bmp
