onset	duration	sample	event_type	face_type	rep_status	rep_lag	trial	value	stim_file
36.1076363636	n/a	39718.4	show_face_initial	unfamiliar_face	first_show	n/a	1	3	u099.bmp
37.0776363636	n/a	40785.4	show_circle	n/a	n/a	n/a	1	0	circle.bmp
37.1294545455	n/a	40842.4	left_press	n/a	n/a	n/a	1	256	n/a
38.7776363636	n/a	42655.4	show_cross	n/a	n/a	n/a	2	1	cross.bmp
39.4158181818	n/a	43357.4	show_face	unfamiliar_face	immediate_repeat	1	2	14	u099.bmp
40.0803636364	n/a	44088.4	left_press	n/a	n/a	n/a	2	256	n/a
40.4130909091	n/a	44454.4	show_circle	n/a	n/a	n/a	2	0	circle.bmp
42.1130909091	n/a	46324.4	show_cross	n/a	n/a	n/a	3	1	cross.bmp
42.724	n/a	46996.4	show_face	unfamiliar_face	first_show	n/a	3	13	u027.bmp
43.5676363636	n/a	47924.4	show_circle	n/a	n/a	n/a	3	0	circle.bmp
43.7849090909	n/a	48163.4	right_press	n/a	n/a	n/a	3	4096	n/a
45.2676363636	n/a	49794.4	show_cross	n/a	n/a	n/a	4	1	cross.bmp
45.8303636364	n/a	50413.4	show_face	unfamiliar_face	immediate_repeat	1	4	14	u027.bmp
46.5358181818	n/a	51189.4	right_press	n/a	n/a	n/a	4	4096	n/a
46.8485454545	n/a	51533.4	show_circle	n/a	n/a	n/a	4	0	circle.bmp
48.5485454545	n/a	53403.4	show_cross	n/a	n/a	n/a	5	1	cross.bmp
49.0549090909	n/a	53960.4	show_face	scrambled_face	first_show	n/a	5	17	s062.bmp
49.9685454545	n/a	54965.4	show_circle	n/a	n/a	n/a	5	0	circle.bmp
50.1230909091	n/a	55135.4	left_press	n/a	n/a	n/a	5	256	n/a
51.6685454545	n/a	56835.4	show_cross	n/a	n/a	n/a	6	1	cross.bmp
52.3121818182	n/a	57543.4	show_face	unfamiliar_face	first_show	n/a	6	13	u082.bmp
53.2976363636	n/a	58627.4	show_circle	n/a	n/a	n/a	6	0	circle.bmp
53.5976363636	n/a	58957.4	left_press	n/a	n/a	n/a	6	256	n/a
54.9976363636	n/a	60497.4	show_cross	n/a	n/a	n/a	7	1	cross.bmp
55.5358181818	n/a	61089.4	show_face	unfamiliar_face	immediate_repeat	1	7	14	u082.bmp
