onset	duration	sample	value	gid
585.3076171875	n/a	599356	1311	1253
593.2666015625	n/a	607506	2120	0
599.9970703125	n/a	614398	1312	1253
599.9970703125	n/a	614398	1311	1070
605.833984375	n/a	620375	2110	0
606.404296875	n/a	620959	1312	1070
606.404296875	n/a	620959	1321	4008
612.3212890625	n/a	627018	2120	0
614.267578125	n/a	629011	1322	4008
614.267578125	n/a	629011	1311	1091
618.609375	n/a	633457	2120	0
621.5068359375	n/a	636424	1312	1091
621.5068359375	n/a	636424	1331	4021
625.7529296875	n/a	640772	2120	0
629.0498046875	n/a	644148	1332	4021
629.0498046875	n/a	644148	1311	1185
635.4482421875	n/a	650700	2110	0
636.0830078125	n/a	651350	1312	1185
636.0830078125	n/a	651350	1212	0
706.0068359375	n/a	722952	1221	0
706.0068359375	n/a	722952	1311	1175
713.197265625	n/a	730315	2110	0
713.8212890625	n/a	730954	1312	1175
713.8212890625	n/a	730954	1311	1160
722.4453125	n/a	739785	2110	0
723.0380859375	n/a	740392	1312	1160
723.0380859375	n/a	740392	1311	1205
727.7294921875	n/a	745196	2110	0
728.3017578125	n/a	745782	1312	1205
728.3017578125	n/a	745782	1311	1018
733.037109375	n/a	750631	2110	0
733.6572265625	n/a	751266	1312	1018
733.6572265625	n/a	751266	1311	1155
738.8525390625	n/a	756586	2110	0
798.0322265625	n/a	817186	1312	1155
798.0322265625	n/a	817186	1311	1087
803.2978515625	n/a	822578	2110	0
803.8974609375	n/a	823192	1312	1087
803.8974609375	n/a	823192	1311	1135
808.482421875	n/a	827887	2110	0
809.0888671875	n/a	828508	1312	1135
809.0888671875	n/a	828508	1311	1222
813.9541015625	n/a	833490	2110	0
814.546875	n/a	834097	1312	1222
814.546875	n/a	834097	1311	1181
820.7294921875	n/a	840428	2110	0
821.3359375	n/a	841049	1312	1181
821.3359375	n/a	841049	1311	1249
825.5859375	n/a	845401	2110	0
826.1875	n/a	846017	1312	1249
826.1875	n/a	846017	1311	1186
832.60546875	n/a	852589	2110	0
833.2021484375	n/a	853200	1312	1186
833.2021484375	n/a	853200	1311	1221
842.4970703125	n/a	862718	2110	0
843.0908203125	n/a	863326	1312	1221
843.0908203125	n/a	863326	1351	4052
846.888671875	n/a	867215	2120	0
856.125	n/a	876673	1352	4052
856.125	n/a	876673	1311	1183
861.7001953125	n/a	882382	2110	0
862.2685546875	n/a	882964	1312	1183
862.2685546875	n/a	882964	1331	4034
866.337890625	n/a	887131	2120	0
868.474609375	n/a	889319	1332	4034
868.474609375	n/a	889319	1311	1030
877.6015625	n/a	898665	2110	0
878.1953125	n/a	899273	1312	1030
878.1953125	n/a	899273	1311	1239
882.53515625	n/a	903717	2110	0
883.1162109375	n/a	904312	1312	1239
883.1162109375	n/a	904312	1311	1184
886.943359375	n/a	908231	2110	0
887.5341796875	n/a	908836	1312	1184
887.5341796875	n/a	908836	1311	1214
893.0224609375	n/a	914456	2110	0
893.5947265625	n/a	915042	1312	1214
893.5947265625	n/a	915042	1311	1006
898.0224609375	n/a	919576	2110	0
898.611328125	n/a	920179	1312	1006
898.611328125	n/a	920179	1311	1246
906.7607421875	n/a	928524	2110	0
907.357421875	n/a	929135	1312	1246
907.357421875	n/a	929135	1311	1189
911.333984375	n/a	933207	2110	0
911.9267578125	n/a	933814	1312	1189
911.9267578125	n/a	933814	1311	1090
917.326171875	n/a	939343	2110	0
917.896484375	n/a	939927	1312	1090
917.896484375	n/a	939927	1311	1066
924.2294921875	n/a	946412	2110	0
924.822265625	n/a	947019	1312	1066
924.822265625	n/a	947019	1311	1081
933.205078125	n/a	955603	2120	0
936.1435546875	n/a	958612	1312	1081
936.1435546875	n/a	958612	1331	4033
941.46875	n/a	964065	2110	0
942.076171875	n/a	964687	1332	4033
942.076171875	n/a	964687	1311	1127
946.9404296875	n/a	969668	2110	0
947.6181640625	n/a	970362	1312	1127
947.6181640625	n/a	970362	1222	0
956.66796875	n/a	979629	1241	0
956.66796875	n/a	979629	1321	4013
960.4501953125	n/a	983502	2120	0
963.265625	n/a	986385	1322	4013
963.265625	n/a	986385	1331	4019
968.6357421875	n/a	991884	2120	0
972.728515625	n/a	996075	1332	4019
972.728515625	n/a	996075	1311	1114
977.3896484375	n/a	1000848	2110	0
977.9580078125	n/a	1001430	1312	1114
977.9580078125	n/a	1001430	1321	4001
