onset	duration	code	trial_number
0.0079	0.0167	70	0
0.0079	0.0	train_block_end	0
20.5466	0.0	3	0
20.5582	0.0	rest_block_start	0
20.5582	2.0084	80	0
22.5666	2.0084	80	0
24.5749	2.0084	80	0
26.5833	2.0084	80	0
28.5917	2.0084	80	0
30.6	2.0084	80	0
32.6084	2.0084	80	0
34.6168	2.0084	80	0
38.1335	0.0	rest_block_end	0
38.1335	0.0	experiment_block_start	0
38.1335	0.5	40	1
38.6335	0.25	30	1
38.8835	0.3	11	1
39.1754	0.0	1	1
39.1835	0.5	40	2
39.6835	0.25	30	2
39.9335	0.2833	12	2
40.2084	0.0	2	2
40.2168	0.5	40	3
40.7168	0.25	30	3
40.9669	0.2	211	3
41.1669	1.05	221	3
42.2169	0.5	40	4
42.7169	0.25	30	4
42.9669	0.4583	11	4
43.4153	0.0	1	4
43.4252	0.5	40	5
43.9252	0.25	30	5
44.1752	0.3417	12	5
44.5103	0.0	2	5
44.5169	0.5	40	6
45.0169	0.25	30	6
45.2669	0.2917	11	6
45.5523	0.0	1	6
45.5586	0.5	40	7
46.0586	0.25	30	7
46.3086	0.3167	12	7
46.6153	0.0	2	7
46.6253	0.5	40	8
47.1253	0.25	30	8
47.3753	0.25	212	8
47.6253	0.05	222	8
47.6682	0.0	2	8
47.6753	0.5	40	9
48.1753	0.25	30	9
48.4253	0.2	211	9
48.6253	1.05	221	9
49.6753	0.5	40	10
50.1753	0.25	30	10
50.4253	0.25	212	10
50.6753	0.1333	222	10
50.8002	0.0	2	10
50.8087	0.5	40	11
51.3087	0.25	30	11
51.5587	0.4417	11	11
51.9942	0.0	1	11
52.0004	0.5	40	12
52.5004	0.25	30	12
52.7504	0.55	12	12
53.2941	0.0	2	12
53.3004	0.5	40	13
53.8004	0.25	30	13
54.0504	0.3583	12	13
54.4032	0.0	2	13
54.4087	0.5	40	14
54.9087	0.25	30	14
55.1587	0.325	11	14
55.4741	0.0	1	14
55.4837	0.5	40	15
55.9838	0.25	30	15
56.2338	0.35	12	15
56.5781	0.0	2	15
56.5838	0.5	40	16
57.0838	0.25	30	16
57.3338	0.3083	11	16
57.6331	0.0	2	16
57.6421	0.5	40	17
58.1421	0.25	30	17
58.3921	0.3917	12	17
58.7791	0.0	2	17
58.7838	0.5	40	18
59.2838	0.25	30	18
59.5338	0.5417	11	18
60.0641	0.0	1	18
60.0755	0.5	40	19
60.5755	0.25	30	19
60.8255	0.3167	12	19
61.1311	0.0	2	19
61.1422	0.5	40	20
61.6422	0.25	30	20
61.8922	0.2	212	20
62.0922	0.175	222	20
62.256	0.0	2	20
62.2672	0.5	40	21
62.7672	0.25	30	21
63.0172	0.4667	11	21
63.474	0.0	1	21
63.4839	0.5	40	22
63.9839	0.25	30	22
64.2339	0.3917	11	22
64.62	0.0	1	22
64.6256	0.5	40	23
65.1256	0.25	30	23
65.3756	0.15	211	23
65.5256	1.1	221	23
66.6256	0.5	40	24
67.1256	0.25	30	24
67.3756	0.3167	12	24
67.6869	0.0	2	24
67.6923	0.5	40	25
68.1923	0.25	30	25
68.4423	0.2	211	25
68.6423	0.1333	221	25
68.7649	0.0	1	25
68.7756	0.5	40	26
69.2756	0.25	30	26
69.5256	0.4917	12	26
70.0129	0.0	2	26
70.0173	0.5	40	27
70.5173	0.25	30	27
70.7673	0.35	12	27
71.1119	0.0	2	27
71.1173	0.5	40	28
71.6173	0.25	30	28
71.8673	0.4417	12	28
72.3009	0.0	2	28
72.309	0.5	40	29
72.809	0.25	30	29
73.059	0.3333	11	29
73.3879	0.0	1	29
73.3924	0.5	40	30
73.8924	0.25	30	30
74.1424	0.15	212	30
74.2924	1.1	222	30
75.3924	0.5	40	31
75.8924	0.25	30	31
76.1424	0.5583	11	31
76.6888	0.0	1	31
76.7007	0.5	40	32
77.2007	0.25	30	32
77.4508	0.2917	11	32
77.7358	0.0	1	32
77.7424	0.5	40	33
78.2424	0.25	30	33
78.4924	0.3	12	33
78.7808	0.0	2	33
78.7924	0.5	40	34
79.2924	0.25	30	34
79.5425	0.2	212	34
79.7425	0.15	222	34
79.8827	0.0	2	34
79.8925	0.5	40	35
80.3925	0.25	30	35
80.6425	0.325	12	35
80.9608	0.0	2	35
80.9675	0.5	40	36
81.4675	0.25	30	36
81.7175	0.4083	12	36
82.1177	0.0	2	36
82.1258	0.5	40	37
82.6258	0.25	30	37
82.8758	0.3333	11	37
83.2007	0.0	1	37
83.2092	0.5	40	38
83.7092	0.25	30	38
83.9592	0.15	211	38
84.1092	1.1	221	38
85.2092	0.5	40	39
85.7092	0.25	30	39
85.9592	0.3417	11	39
86.2967	0.0	1	39
86.3009	0.5	40	40
86.8009	0.25	30	40
87.0509	0.3167	11	40
87.3567	0.0	2	40
87.3676	0.5	40	41
87.8676	0.25	30	41
88.1176	0.2	212	41
88.3176	1.05	222	41
89.3676	0.5	40	42
89.8676	0.25	30	42
90.1176	0.35	12	42
90.4566	0.0	2	42
90.4676	0.5	40	43
90.9676	0.25	30	43
91.2176	0.35	11	43
91.5606	0.0	1	43
91.5676	0.5	40	44
92.0677	0.25	30	44
92.3176	0.3083	12	44
92.6156	0.0	2	44
92.626	0.5	40	45
93.126	0.25	30	45
93.376	0.375	11	45
93.7446	0.0	1	45
93.751	0.5	40	46
94.251	0.25	30	46
94.501	0.325	12	46
94.8176	0.0	2	46
94.826	0.5	40	47
95.326	0.25	30	47
95.576	0.3667	11	47
95.9365	0.0	1	47
95.9427	0.5	40	48
96.4427	0.25	30	48
96.6927	0.25	211	48
96.9427	0.1333	221	48
97.0695	0.0	1	48
97.0761	0.5	40	49
97.5761	0.25	30	49
97.8261	0.3833	11	49
98.2015	0.0	1	49
98.2094	0.5	40	50
98.7094	0.25	30	50
98.9594	0.3167	11	50
99.2685	0.0	1	50
99.2761	0.5	40	51
99.7761	0.25	30	51
100.0261	0.4667	11	51
100.4844	0.0	1	51
100.4928	0.5	40	52
100.9928	0.25	30	52
101.2428	0.2	212	52
101.4428	1.05	222	52
102.4928	0.5	40	53
102.9928	0.25	30	53
103.2428	0.4917	12	53
103.7284	0.0	2	53
103.7345	0.5	40	54
104.2345	0.25	30	54
104.4845	0.25	211	54
104.7345	0.0917	221	54
104.8144	0.0	1	54
104.8262	0.5	40	55
105.3262	0.25	30	55
105.5762	0.4667	12	55
106.0353	0.0	2	55
106.0429	0.5	40	56
106.5429	0.25	30	56
106.7929	0.275	12	56
107.0594	0.0	2	56
107.0679	0.5	40	57
107.5679	0.25	30	57
107.8179	0.3	12	57
108.1104	0.0	2	57
108.1179	0.5	40	58
108.6179	0.25	30	58
108.8679	0.375	12	58
109.2383	0.0	1	58
109.2429	0.5	40	59
109.3273	0.0	2	59
109.7429	0.5	40	60
110.2429	0.25	30	60
110.4929	0.2	212	60
110.6929	0.175	222	60
110.8603	0.0	2	60
110.8679	0.5	40	61
111.3679	0.25	30	61
111.6179	0.15	211	61
111.768	1.1	221	61
112.868	0.5	40	62
113.368	0.25	30	62
113.618	0.2917	12	62
113.9012	0.0	2	62
113.9096	0.5	40	63
114.4097	0.25	30	63
114.6597	0.4833	11	63
115.1312	0.0	1	63
115.143	0.5	40	64
115.643	0.25	30	64
115.893	0.3917	11	64
116.2742	0.0	1	64
116.2847	0.5	40	65
116.7847	0.25	30	65
117.0347	0.3667	11	65
117.3922	0.0	1	65
117.4014	0.0167	70	0
117.4014	0.0	experiment_block_end	0
138.7739	0.0	3	0
138.785	0.0	rest_block_start	0
138.785	2.0084	80	0
140.7934	2.0084	80	0
142.8018	2.0084	80	0
144.8101	2.0084	80	0
146.8185	2.0084	80	0
148.8269	2.0084	80	0
150.8352	2.0084	80	0
152.8436	2.0084	80	0
156.3603	0.0	rest_block_end	0
156.3603	0.0	experiment_block_start	0
156.3603	0.5	40	1
156.8603	0.25	30	1
157.1103	0.3083	11	1
157.4136	0.0	2	1
157.4187	0.5	40	2
157.9187	0.25	30	2
158.1687	0.35	12	2
158.5106	0.0	2	2
158.5187	0.5	40	3
159.0187	0.25	30	3
159.2687	0.4417	11	3
159.7046	0.0	1	3
159.7104	0.5	40	4
160.2104	0.25	30	4
160.4604	0.325	12	4
160.7746	0.0	2	4
160.7854	0.5	40	5
161.2854	0.25	30	5
161.5354	0.3333	12	5
161.8576	0.0	2	5
161.8687	0.5	40	6
162.3687	0.25	30	6
162.6187	0.2	211	6
162.8187	0.1667	221	6
162.9765	0.0	1	6
162.9854	0.5	40	7
163.4854	0.25	30	7
163.7354	0.375	11	7
164.0995	0.0	1	7
164.1104	0.5	40	8
164.6104	0.25	30	8
164.8604	0.15	212	8
165.0104	1.1	222	8
166.1105	0.5	40	9
166.6105	0.25	30	9
166.8605	0.4	12	9
167.2504	0.0	2	9
167.2605	0.5	40	10
167.7605	0.25	30	10
168.0105	0.35	12	10
168.3505	0.0	2	10
168.3605	0.5	40	11
168.8605	0.25	30	11
169.1105	0.45	11	11
169.5504	0.0	1	11
169.5605	0.5	40	12
170.0605	0.25	30	12
170.3105	0.2	212	12
170.5105	1.05	222	12
171.5605	0.5	40	13
172.0605	0.25	30	13
172.3106	0.45	12	13
172.7534	0.0	2	13
172.7606	0.5	40	14
173.2606	0.25	30	14
173.5106	0.4083	11	14
173.9134	0.0	1	14
173.9189	0.5	40	15
174.4189	0.25	30	15
174.6689	0.325	11	15
174.9854	0.0	1	15
174.9939	0.5	40	16
175.4939	0.25	30	16
175.7439	0.25	211	16
175.9939	0.125	221	16
176.1083	0.0	1	16
176.1189	0.5	40	17
176.619	0.25	30	17
176.869	0.375	12	17
177.2393	0.0	2	17
177.244	0.5	40	18
177.744	0.25	30	18
177.994	0.2	211	18
178.194	0.125	221	18
178.3113	0.0	1	18
178.319	0.5	40	19
178.819	0.25	30	19
179.069	0.6417	11	19
179.7052	0.0	1	19
179.7107	0.5	40	20
180.2107	0.25	30	20
180.4607	0.3583	11	20
180.8072	0.0	1	20
180.819	0.5	40	21
181.319	0.25	30	21
181.569	0.3583	12	21
181.9223	0.0	2	21
181.9274	0.5	40	22
182.4274	0.25	30	22
182.6774	0.3167	12	22
182.9902	0.0	2	22
182.9941	0.5	40	23
183.4941	0.25	30	23
183.7441	0.2917	11	23
184.0292	0.0	1	23
184.0357	0.5	40	24
184.5357	0.25	30	24
184.7857	0.15	212	24
184.9358	0.1833	222	24
185.1082	0.0	2	24
185.1191	0.5	40	25
185.6191	0.25	30	25
185.8691	0.1	211	25
185.9691	0.1583	221	25
186.1232	0.0	1	25
186.1274	0.5	40	26
186.6274	0.25	30	26
186.8774	0.3917	11	26
187.2651	0.0	1	26
187.2691	0.5	40	27
187.7691	0.25	30	27
188.0191	0.325	11	27
188.3402	0.0	2	27
188.3441	0.5	40	28
188.8441	0.25	30	28
189.0941	0.05	212	28
189.1442	1.2	222	28
190.3442	0.5	40	29
190.8442	0.25	30	29
191.0942	0.3667	11	29
191.4531	0.0	1	29
191.4608	0.5	40	30
191.9609	0.25	30	30
192.2109	0.5917	12	30
192.7941	0.0	2	30
192.8025	0.5	40	31
193.3025	0.25	30	31
193.5525	0.3083	12	31
193.8531	0.0	2	31
193.8609	0.5	40	32
194.3609	0.25	30	32
194.6109	0.3667	12	32
194.9721	0.0	2	32
194.9776	0.5	40	33
195.4776	0.25	30	33
195.7276	0.1	211	33
195.8276	1.15	221	33
196.9776	0.5	40	34
197.4776	0.25	30	34
197.7276	0.3833	12	34
198.1	0.0	2	34
198.111	0.5	40	35
198.611	0.25	30	35
198.861	0.375	12	35
199.23	0.0	2	35
199.236	0.5	40	36
199.736	0.25	30	36
199.986	0.15	212	36
200.136	1.1	222	36
201.236	0.5	40	37
201.736	0.25	30	37
201.986	0.5667	12	37
202.5439	0.0	2	37
202.5527	0.5	40	38
203.0527	0.25	30	38
203.3027	0.3	11	38
203.5949	0.0	1	38
203.6027	0.5	40	39
204.1027	0.25	30	39
204.3527	0.3	11	39
204.6489	0.0	1	39
204.6527	0.5	40	40
205.1527	0.25	30	40
205.4027	0.3583	11	40
205.7499	0.0	1	40
205.7611	0.5	40	41
206.2611	0.25	30	41
206.5111	0.2	211	41
206.7111	0.125	221	41
206.8319	0.0	1	41
206.8361	0.5	40	42
207.3361	0.25	30	42
207.5861	0.3667	11	42
207.9449	0.0	1	42
207.9528	0.5	40	43
208.4528	0.25	30	43
208.7028	0.3917	12	43
209.0858	0.0	2	43
209.0945	0.5	40	44
209.5945	0.25	30	44
209.8445	0.15	212	44
209.9945	1.1	222	44
211.0945	0.5	40	45
211.5945	0.25	30	45
211.8445	0.3417	11	45
212.1818	0.0	1	45
212.1862	0.5	40	46
212.6862	0.25	30	46
212.9362	0.2667	11	46
213.1968	0.0	1	46
213.2028	0.5	40	47
213.7029	0.25	30	47
213.9529	0.4	12	47
214.3458	0.0	2	47
214.3529	0.5	40	48
214.8529	0.25	30	48
215.1029	0.3417	12	48
215.4397	0.0	2	48
215.4446	0.5	40	49
215.9446	0.25	30	49
216.1946	0.2	212	49
216.3946	1.05	222	49
217.4446	0.5	40	50
217.9446	0.25	30	50
218.1946	0.4583	12	50
218.6487	0.0	2	50
218.6529	0.5	40	51
219.1529	0.25	30	51
219.4029	0.3417	11	51
219.7337	0.0	1	51
219.7446	0.5	40	52
220.2446	0.25	30	52
220.4946	0.35	12	52
220.8366	0.0	2	52
220.8446	0.5	40	53
221.3446	0.25	30	53
221.5946	0.25	211	53
221.8446	0.05	221	53
221.8847	0.0	1	53
221.8947	0.5	40	54
222.3947	0.25	30	54
222.6447	0.3667	11	54
223.0006	0.0	1	54
223.0113	0.5	40	55
223.5113	0.25	30	55
223.7613	0.3167	12	55
224.0676	0.0	2	55
224.078	0.5	40	56
224.578	0.25	30	56
224.828	0.35	11	56
225.1676	0.0	1	56
225.178	0.5	40	57
225.678	0.25	30	57
225.928	0.2	212	57
226.128	0.0833	222	57
226.2076	0.0	2	57
226.2114	0.5	40	58
226.7114	0.25	30	58
226.9614	0.3	11	58
227.2495	0.0	1	58
227.2614	0.5	40	59
227.7614	0.25	30	59
228.0114	0.3417	12	59
228.3466	0.0	2	59
228.3531	0.5	40	60
228.8531	0.25	30	60
229.1031	0.4583	12	60
229.5556	0.0	2	60
229.5614	0.5	40	61
230.0614	0.25	30	61
230.3114	0.15	211	61
230.4615	1.1	221	61
231.5615	0.5	40	62
232.0615	0.25	30	62
232.3115	0.3917	11	62
232.6925	0.0	1	62
232.7032	0.5	40	63
233.2032	0.25	30	63
233.4532	0.35	11	63
233.7965	0.0	2	63
233.8032	0.5	40	64
233.8194	0.0	1	64
234.3032	0.5	40	65
234.8032	0.25	30	65
235.0532	0.35	12	65
235.3984	0.0	2	65
235.4032	0.0167	70	0
235.4032	0.0	experiment_block_end	0
253.7842	0.0	3	0
253.7951	0.0	rest_block_start	0
253.7951	2.0084	80	0
255.8035	2.0084	80	0
257.8119	2.0084	80	0
259.8202	2.0084	80	0
261.8286	2.0084	80	0
263.837	2.0084	80	0
265.8453	2.0084	80	0
267.8537	2.0084	80	0
271.3704	0.0	rest_block_end	0
271.3704	0.0	experiment_block_start	0
271.3704	0.5	40	1
271.8704	0.25	30	1
272.1204	0.2	212	1
272.3204	0.1333	222	1
272.4439	0.0	2	1
272.4538	0.5	40	2
272.9538	0.25	30	2
273.2038	0.15	211	2
273.3538	1.1	221	2
274.4538	0.5	40	3
274.9538	0.25	30	3
275.2038	0.35	12	3
