onset	duration	sample	value	gid
15.8203125	n/a	16201	1121	0
15.8203125	n/a	16201	1241	0
15.8203125	n/a	16201	1321	4017
18.900390625	n/a	19355	2120	0
23.470703125	n/a	24035	1322	4017
23.470703125	n/a	24035	1311	1142
36.4619140625	n/a	37338	2110	0
37.03125	n/a	37921	1312	1142
37.03125	n/a	37921	1311	1031
48.60546875	n/a	49773	2110	0
49.1796875	n/a	50361	1312	1031
49.1796875	n/a	50361	1311	1067
62.64453125	n/a	64149	2110	0
63.2197265625	n/a	64738	1312	1067
63.2197265625	n/a	64738	1311	1082
71.2548828125	n/a	72966	2110	0
71.828125	n/a	73553	1312	1082
71.828125	n/a	73553	1311	1099
79.4921875	n/a	81401	2110	0
80.0654296875	n/a	81988	1312	1099
80.0654296875	n/a	81988	1351	4053
83.763671875	n/a	85775	2120	0
88.861328125	n/a	90995	1352	4053
88.861328125	n/a	90995	1311	1044
102.9814453125	n/a	105454	2110	0
103.5556640625	n/a	106042	1312	1044
103.5556640625	n/a	106042	1311	1005
118.3623046875	n/a	121204	2110	0
118.935546875	n/a	121791	1312	1005
118.935546875	n/a	121791	1311	1069
129.810546875	n/a	132927	2110	0
130.376953125	n/a	133507	1312	1069
130.376953125	n/a	133507	1311	1137
138.2978515625	n/a	141618	2110	0
138.87109375	n/a	142205	1312	1137
138.87109375	n/a	142205	1311	1084
144.5458984375	n/a	148016	2110	0
145.1162109375	n/a	148600	1312	1084
145.1162109375	n/a	148600	1311	1059
155.6650390625	n/a	159402	2110	0
156.236328125	n/a	159987	1312	1059
156.236328125	n/a	159987	1311	1143
167.640625	n/a	171665	2110	0
168.20703125	n/a	172245	1312	1143
168.20703125	n/a	172245	1311	1115
176.9599609375	n/a	181208	2110	0
177.5322265625	n/a	181794	1312	1115
177.5322265625	n/a	181794	1321	4004
189.9833984375	n/a	194544	2110	0
190.5546875	n/a	195129	1322	4004
190.5546875	n/a	195129	1311	1190
198.919921875	n/a	203695	2110	0
199.490234375	n/a	204279	1312	1190
199.490234375	n/a	204279	1311	1187
211.8154296875	n/a	216900	2110	0
212.3896484375	n/a	217488	1312	1187
212.3896484375	n/a	217488	1321	4018
217.1591796875	n/a	222372	2120	0
220.76953125	n/a	226069	1322	4018
220.76953125	n/a	226069	1311	1063
240.771484375	n/a	246551	2120	0
241.34375	n/a	247137	1312	1063
241.34375	n/a	247137	1311	1088
241.5576171875	n/a	247356	2120	0
246.5205078125	n/a	252438	1312	1088
246.5205078125	n/a	252438	1311	1068
253.29296875	n/a	259373	2110	0
253.8681640625	n/a	259962	1312	1068
253.8681640625	n/a	259962	1311	1133
264.5966796875	n/a	270948	2110	0
265.1689453125	n/a	271534	1312	1133
265.1689453125	n/a	271534	1311	1205
273.5322265625	n/a	280098	2110	0
274.1064453125	n/a	280686	1312	1205
274.1064453125	n/a	280686	1311	1181
284.4921875	n/a	291321	2120	0
289.630859375	n/a	296583	1312	1181
289.630859375	n/a	296583	1311	1152
297.8994140625	n/a	305050	2110	0
298.46875	n/a	305633	1312	1152
298.46875	n/a	305633	1341	4041
305.67578125	n/a	313013	2120	0
308.5498046875	n/a	315956	1342	4041
308.5498046875	n/a	315956	1311	1220
313.58984375	n/a	321117	2110	0
314.2109375	n/a	321753	1312	1220
314.2109375	n/a	321753	1242	0
